"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Open Richly Annotated Cuneiform Corpus, Korp Version";"http://urn.fi/urn:nbn:fi:lb-2018071121";"Akkadian";"741,100 tokens";"tokenised";"CC-BY-SA";"";"This corpus contains cuneiform texts from Ancient history.#SEPThe corpus is available through the concordancer Korp.";"Historical corpora";"Concordancer";"http://urn.fi/urn:nbn:fi:lb-2018071122";"";"";""
"The Diorisis Ancient Greek Corpus";"http://hdl.handle.net/11372/LRT-4769";"Ancient Greek";"10.2 million words";"PoS-tagged, lemmatised";"CC BY 4.0";"";"This corpus consists of 820 texts spanning between the beginnings of the Ancient Greek literary tradition (Homer) to the fifth century AD. The texts are sourced from the <a href=""https://github.com/PerseusDL/canonical-greekLit"">Perseus Canonical Greek Lit Repository</a>, <a href=""http://www.mikrosapoplous.gr/en/texts1en.html"">""The Little Sailing"" digital library</a>, and the <a href=""http://www.hs-augsburg.de/~harsch/augustana.html#gr"">Bibliotheca Augustana digital library</a>.#SEPThe corpus is available for download from Figshare.";"Historical corpora";"Download";"https://hdl.handle.net/10.6084/m9.figshare.6187256.v1";"Vatri and McGillivray (2018)";"https://www.clarin.eu/resource-families/historical-corpora#vatrimcgillivray2018";""
"Greek Medieval Texts";"http://hdl.grnet.gr/11500/AEGEAN-0000-0000-251D-7";"Ancient Greek";"3.4 million words";"";"CC-BY";"";"This corpus contains texts from the 4th to the 16th century.#SEPThe corpus is available for download from the clarin:el repository.  ";"Historical corpora";"Download";"http://hdl.grnet.gr/11500/AEGEAN-0000-0000-251D-7";"";"";""
"Sheffield Corpus of Chinese";"http://hdl.handle.net/20.500.12024/2481";"Chinese";"148,876 words";"no annotation";"CC-BY-NC-SA 3.0";"";"This corpus contains fictional and non-fictional texts from the Medieval and Modern Chinese periods.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2481";"";"";""
"Brieven als buit (Letters as loot)";"http://hdl.handle.net/10032/f6d68fed217ef7364a32c431396ac465";"Dutch";"460,000 words";"lemmatised, PoS-tagged, grammatically tagged";"CLARIN PUB";"";"This corpus contains 1,000 letters from the 17th to the 18th century.#SEPThe corpus is available through a dedicated concordancer.";"Historical corpora";"Concordancer";"http://brievenalsbuit.inl.nl/zeebrieven/page/search";"Rutten and van der Wal (2014).";"https://www.clarin.eu/resource-families/historical-corpora#Rutten%20and%C2%A0van%20der%20Wal%202014";""
"Corpus Gysseling";"https://ivdnt.org/downloads/taalmaterialen/tstc-corpus-gysseling";"Dutch";"1.5 million words";"PoS-tagged, lemmatised";"INT Licence for researchers";"";"This corpus contains texts from the 13th century.#SEPThe corpus is available for download from the Instituut voor de Nederlandse Taal and through a dedicated concordancer.";"Historical corpora";"Concordancer#SEPDownload ";"http://gysseling.corpus.taalbanknederlands.inl.nl/gysseling/page/search#SEPhttp://ivdnt.org/downloads/taalmaterialen/tstc-corpus-gysseling";"";"";""
"A Corpus of English Dialogues 1560-1760 (CED)";"http://hdl.handle.net/20.500.12024/2507";"English";"1.2 million words";"no annotation";"Oxford Text Archive licence";"";"This corpus contains dialogues from literary and didactic works from 1560 to 1760.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2507";"";"";""
"Corpus of Early English Correspondence Sampler (CEECS)";"http://hdl.handle.net/20.500.12024/2461";"English";"450,000 words";"no annotation";"Oxford Text Archive licence";"";"This corpus contains 1147 letters from 1418 to 1680.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2461";"";"";""
"Corpus of Late Modern English prose / David Denison";"http://hdl.handle.net/20.500.12024/2077";"English";"580,056 words";"no annotation";"Oxford Text Archive licence";"";"This corpus contains fictional texts from 1837 to 1926.#SEPThe corpus is available for download from the Oxford Text Archive.";"Historical corpora";"Download";"http://hdl.handle.net/20.500.12024/2077";"";"";""
"Hansard Corpus";"https://www.clarin.ac.uk/hansard-corpus";"English";"1.6 billion tokens";"tokenised, PoS-tagged, lemmatised, semantic tags";"";"";"This corpus contains parliamentary debates from 1803 to 2005.#SEPThe corpus is available through a dedicated concordancer.";"Historical corpora";"Concordancer";"https://www.english-corpora.org/hansard/";"Rayson et al. (2015).";"https://www.clarin.eu/resource-families/historical-corpora#Rayson%20et%20al.%202015";""
