Corpus,Corpus_URL,Language,Size,Annotation,Licence,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
"""PolDiLemma"" Middle Polish Diachrone Lemmatised Corpus",http://hdl.handle.net/11858/00-246C-0000-0023-8C44-B,"Czech, German, Latin, Polish",,"tokenised, lemmatised",,"This corpus contains political, religious and scientific texts from the 16th to the 18th century.#SEPThe corpus is available for download from the CLARIN-D repository.",Download,http://hdl.handle.net/11858/00-246C-0000-0023-8C44-B,,,
Medieval Charter Sections Corpus,http://hdl.handle.net/11234/1-1952,"Czech, Latin",57 chapters,"manually-tagged, named entities",CC-BY-NC-SA 4.0,"This corpus contains Latin charters created in the era of John the Bling, King of Bohemia.#SEPThe corpus is available for download from LINDAT.",Download,http://hdl.handle.net/11234/1-1952,Galuščáková and Neužilová (2018).,https://www.clarin.eu/resource-families/historical-corpora#Galu%C5%A1%C4%8D%C3%A1kov%C3%A1%20and%C2%A0Neu%C5%BEilov%C3%A1%202018,
Anthology of Middle English texts / Santiago Gonzalez y Fernandez-Corugedo,http://purl.ox.ac.uk/ota/1398,"English (Middle), Hebrew",4000 words,,Oxford Text Archive licence,This corpus contains literary texts from 1100 to 1400.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/1398,,,
Dictionary of Old English Corpus in Electronic Form (DOEC),http://purl.ox.ac.uk/ota/2488,"English (Old), Latin",,,Oxford Text Archive licence,This corpus contains 3037 texts from 600 to 1150.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2488,,,
The York-Toronto-Helsinki Parsed Corpus of Old English prose (YCOE),http://purl.ox.ac.uk/ota/2462,"English (Old), Latin",1.5 million words,syntactically-parsed,Oxford Text Archive licence,This corpus contains fictional texts from 600 to 1150.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2462,,,
Hamburg Corpus of Old Swedish with Syntactic Annotations (HaCOSSA),http://hdl.handle.net/11022/0000-0000-9D16-7,"English, German, Latin, Old Norse, Swedish","128,000 words","MSD-tagged, syntactically parsed",CLARIN RES,This corpus contains texts written in the Late Old Swedish period (from 1375 to 1550).#SEPThe corpus is available for download from the repository of the University of Hamburg.,Download,http://hdl.handle.net/11022/0000-0000-9D16-7,,,
The Electronic Text Corpus of Sumerian Literature. Revised edition.,http://purl.ox.ac.uk/ota/2518,"English, Sumerian",,"Each word form in the composite transliterations has been assigned to a lexeme which is specified by a citation form, word class information and basic English translation.",CC-BY-NC-SA 3.0,This corpus contains transliterations and English translations of 394 Sumerian compositions from approximately 2100 to 1700 BCE.#SEPThe corpus is available for download from the Oxford Text Archive.,Download,http://purl.ox.ac.uk/ota/2518,,,
Finnish Folk Poetry,http://urn.fi/urn:nbn:fi:lb-2014052712,"Finnish, Karelian, Ludian, Latin, Swedish, Olonets, Izhorian, Votic",7.1 million words,,CC-BY-NC,This corpus contains poems from 1564 to 1939.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-2014052711,,,
"Corpus of Early Modern Finnish, Kielipankki Version",http://urn.fi/urn:nbn:fi:lb-20140730147,"Finnish, Russian, German, Latin",8.6 million words,,EUPL v.1.1 SA,This corpus contains texts from 1809 to 1899.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-2016081203,,,
Aleksis Kivi Corpus (SKS),http://urn.fi/urn:nbn:fi:lb-201405274,"Finnish, Swedish","413,700 words",,CC-BY-NC,This corpus contains the works by Finnish author Aleksis Kivi from 1855 to 1871.#SEPThe corpus is available through the concordancer Korp.,Concordancer,http://urn.fi/urn:nbn:fi:lb-201405273,,,
Classics Library of the National Library of Finland - Kielipankki version,http://urn.fi/urn:nbn:fi:lb-2018051701,"Finnish, Swedish",,,CC-BY,This corpus will contain literary texts from 1549 to 1944.,,,,,
"The Letters of Paul Sinebrychoff, Kielipankki Version",http://urn.fi/urn:nbn:fi:lb-201407303,"Finnish, Swedish",8.6 million words,,CC-BY,This corpus contains letters from 1895 to 1909.#SEPThe corpus is available through a dedicated online search environment.,Concordancer,http://kirjearkisto.siff.fi/Sinebrychoff/tabid/55/Default.aspx,,,
