"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"An-Nahar Newspaper Text Corpus";"https://catalog.elra.info/en-us/repository/browse/ELRA-W0027/";"24 million tokens";"tokenised";"ELRA END USER";"";"Arabic";"This corpus contains articles from the Arabic newspaper An-Nahar from 1995 to 2000.#SEPThe corpus is available for download from the ELRA catalogue.";"Newspaper corpora";"Download";"https://catalog.elra.info/en-us/repository/browse/ELRA-W0027/";"";"";""
"SYN2006PUB: corpus of Czech newspapers";"http://hdl.handle.net/11858/00-097C-0000-0023-1358-3";"300 million tokens";"tokenised, lemmatised, PoS-tagged";"CC-BY";"";"Czech";"This corpus contains articles from 11 Czech newspapers from 1989 to 2004.#SEPThe corpus is available for download from the Czech repository LINDAT.";"Newspaper corpora";"Download";"http://hdl.handle.net/11858/00-097C-0000-0023-1358-3";"";"";""
"SYN2013PUB: corpus of written Czech newspapers";"http://hdl.handle.net/11858/00-097C-0000-0023-3B09-4";"935 million tokens";"tokenised, lemmatised, MSD-tagged";"Czech National Corpus (Shuffled Corpus Data)";"";"Czech";"This corpus contains articles from Czech newspapers from 2005 to 2009.#SEPThe corpus  is available for download from the Czech repository LINDAT.";"Newspaper corpora";"Download";"http://hdl.handle.net/11858/00-097C-0000-0023-3B09-4";"";"";""
"The Karelian Finnish Newspaper Corpus";"http://urn.fi/urn:nbn:fi:lb-2014092601";"500,000 tokens";"";"CLARIN ACA";"";"Finnish";"This corpus contains articles from the Finnish newspaper <a href=""http://karjalansanomat.sampo.ru/"">Karjalan Sanomat</a> from 2012 to 2014.#SEPThe corpus is available through the concordancer Korp.";"Newspaper corpora";"Concordancer";"https://korp.csc.fi/#?cqp=%5B%5D&stats_reduce=word";"";"";""
"BREF-80";"https://catalog.elra.info/en-us/repository/browse/ELRA-S0006/";"100 hours of speech materials";"";"ELRA END USER/ELRA VAR";"";"French";"This corpus contains recorded readings of articles from the French newspaper <a href=""http://www.lemonde.fr/"">Le Monde.#SEP</a>The corpus is available for download from the ELRA catalogue.";"Newspaper corpora";"Download";"https://catalog.elra.info/en-us/repository/browse/ELRA-S0006/";"";"";""
"Corpus journalistique issu de l'Est Républicain";"https://hdl.handle.net/11403/est_republicain";"";"MSD-tagged, lemmatised";"CC-BY";"";"French";"This corpus contains articles from the French newspaper <a href=""http://www.estrepublicain.fr/"">l'Est Républicain from 1999 to 2003</a>.#SEPThe corpus is available for download from Ortolang.";"Newspaper corpora";"Download";"http://hdl.handle.net/11403/est_republicain";"";"";""
"Tübingen Treebank of Written German / Newspaper Corpus";"http://www.sfs.uni-tuebingen.de/en/ascl/resources/corpora/tueba-dz.html";"1.8 million tokens";"tokenised, MSD tagged, lemmatised, syntactic constituency, named-entities";"CLARIN RES";"";"German";"This corpus contains articles from the German newspaper <a href=""http://www.taz.de/"">Die Tageszeitung</a>.#SEPThe corpus is available through a dedicated concordancer with an institutional account.";"Newspaper corpora";"Concordancer";"https://weblicht.sfs.uni-tuebingen.de/weblichtwiki/index.php/Tundra";"";"";""
"TIGER Corpus";"https://hdl.handle.net/11022/1007-0000-0000-8E50-6";"900,000 tokens";"tokenised, PoS-tagged, parsed, lemmatised";"CLARIN PUB";"";"German";"This corpus contains articles from the German newspaper <a href=""http://www.fr.de/"">Frankfurter Rundschau</a>.#SEPThe corpus is available for download from a dedicated webpage.";"Newspaper corpora";"Download";"http://hdl.handle.net/11022/1007-0000-0000-8E50-6";"";"";""
"MTP Annotated German corpus - tagged version";"http://catalog.elra.info/en-us/repository/browse/ELRA-W0008_02/";"500,000 tokens";"tokenised, MSD tagged";"ELRA END USER/ELRA VAR";"";"German";"This corpus contains articles from two German newspapers <a href=""http://www.faz.net/aktuell/"">Die Frankfurter Allgemeine Zeitung</a> and <a href=""https://www.zeit.de/index"">Die Zeit</a> from 1992.#SEPThe corpus can be downloaded from the ELRA catalogue.";"Newspaper corpora";"Download";"http://catalog.elra.info/en-us/repository/browse/ELRA-W0008_02/";"";"";""
"Mannheim Corpus of Historical Newspapers and Magazines";"http://hdl.handle.net/10932/00-01B8-AE41-41A4-DC01-5";"4.1 million tokens";"tokenised";"";"";"German";"This corpus contains articles from 21 German newspapers from the 18th and 19th century.#SEPThe corpus is available for download from the CLARIN-D repository.";"Newspaper corpora";"Download";"http://hdl.handle.net/10932/00-017B-E47E-5630-9F01-3";"";"";""
