"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Licence_URL";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Linguistically annotated multilingual comparable corpora of parliamentary debates in English ParlaMint-en.ana 3.0";"http://hdl.handle.net/11356/1810";"Bosnian, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, English, Estonian, French, Galician, German, Hungarian, Icelandic, Italian, Latvian, Modern Greek (1453-), Norwegian, Polish, Portuguese, Russian, Serbian, Slovenian, Spanish, Swedish, Turkish, Ukrainian ";"1.1 billion words";"tokenised, MSD-tagged (Universal Dependencies), syntactically parsed (Universal Dependencies), named entities";"CC BY 4.0";;"This corpus comprises linguistically annotated multilingual comparable corpora of parliamentary debates <a href=""http://hdl.handle.net/11356/1488"">ParlaMint.ana 3.0</a> which were machine translated to English and the translation linguistically annotated.#SEPExcept for the translation to English, small changes in the metadata and the absence of the British parliament corpus, the corpora included in this entry are in all respects identical to the source language corpora, i.e. the entry comprises the same 26 European parliamentary corpora, together with over 1.1 billion words. The translation to English was done with <a href=""https://github.com/UKPLab/EasyNMT"">EasyNMT</a> with<a href=""https://github.com/Helsinki-NLP/Opus-MT"">OPUS-MT models</a>. Machine translation was done on the sentence level, and includes both speeches and transcriber notes, including headings. The linguistic annotation of the speeches, i.e. tokenisation, tagging with UD PoS and morphological features, lemmatisation, and NER annotation was done with <a href=""https://stanfordnlp.github.io/stanza/""> Stanza </a>, using the English language model. For NER the conll03 model with 4 NE classes was used.#SEPThe corpus is available for download from the CLARIN.SI repository and for browsing through concordancers noSketchEngine and KonText.";"Parliamentary corpora";"Concordancer (noSketchEngine)#SEP (KonText)#SEPDownload";"https://www.clarin.si/ske/#dashboard?corpname=parlamint30_xx_en#SEPhttps://www.clarin.si/kontext/query?corpname=parlamint30_xx_en#SEPhttp://hdl.handle.net/11356/1810";;;
"Linguistically annotated multilingual comparable corpora of parliamentary debates ParlaMint.ana 3.0";"http://hdl.handle.net/11356/1488";"Bosnian, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, English, Estonian, French, Galician, German, Hungarian, Icelandic, Italian, Latvian, Modern Greek (1453-), Norwegian, Polish, Portuguese, Russian, Serbian, Slovenian, Spanish, Swedish, Turkish, Ukrainian ";"7.5 million utterances, 1.1 billion words";"tokenised, MSD-tagged (Universal Dependencies), syntactically parsed (Universal Dependencies), named entities";"CC BY 4.0";;"ParlaMint is a multilingual set of comparable corpora containing parliamentary debates mostly starting at the end of 2015 and extending to mid 2022, with each corpus being between 9 and 125 million words in size. The sessions in the corpora are marked as belonging to the COVID-19 period (after October 2019),  the pre-Covid period or the period after 24 February 2022.#SEPThe corpora have extensive meta-data about the speakers (name, gender, party affiliation, MP status), are structured into time-stamped terms, sessions and meetings, with each speech being marked by its speaker and their role (chair, regular speaker). The speeches also contain marked-up transcriber comments, such as gaps in the transcription, interruptions, applause, etc.#SEPThe corpus is available for download from the CLARIN.SI repository and through the concordancer <a href=""https://www.clarin.si/ske/#open"">noSketch Engine</a>. Note that the version of the corpus without linguistic mark-up is available for download under a <a href=""http://hdl.handle.net/11356/1486"">separate CLARIN.SI entry</a>.";"Parliamentary corpora";"Concordancer#SEPDownload";"https://www.clarin.si/ske/#open#SEPhttp://hdl.handle.net/11356/1431";;;
"The sentiment corpus of parliamentary debates ParlaSent-BCS v1.0";"http://hdl.handle.net/11356/1585";"Bosnian, Croatian, Serbian";"2600 sentences";"sentiment analysis";"CC BY-SA 4.0";;"This corpus consists of mid-length sentences from the Bosnian, Croatian, and Serbian parliamentary proceedings that are  annotated with a 6-level sentiment schema. The date of the speech and the speaker name are given as well. If the speaker is MP, information on party, gender and year of birth are available as well.#SEPThe corpus is available for download from the CLARIN.SI repository.";"Parliamentary corpora";"Download";"http://hdl.handle.net/11356/1585";;;
"Croatian parliamentary corpus ParlaMeter-hr9 1.0";"http://hdl.handle.net/11356/1209";"Croatian";"14.1 million tokens";"tokenised, MSD-tagged, lemmatised, named entities";"CC-BY";;"The corpus contains minutes of the National Assembly of the Republic of Croatia and currently covers its VIth mandate from 15 November 2016 to 21 Nomveber 2018. The corpus contains speaker metadata (gender, age, education, party affiliation). #SEPThe corpus is available for download from the CLARIN.SI repository and through the concordancers <a href=""https://www.clarin.si/kontext/first_form?corpname=parlameter_hr"">KonText </a> and <a href=""https://www.clarin.si/noske/run.cgi/corp_info?corpname=parlameter_sl&amp;struct_attr_stats=1"">noSketchEngine</a>, as well as through a <a href=""https://parlametar.hr/"">dedicated webpage</a>.";"Parliamentary corpora";"Concordancer#SEPDownload";"http://www.clarin.si/kontext/first_form?corpname=parlameter_hr#SEPhttp://hdl.handle.net/11356/1209";;;
"Parliamentary corpus of first Yugoslavia (1919-1939) yu1Parl 1.0";"http://hdl.handle.net/11356/1845";"Croatian, Serbian, Slovenian";"34,542 utterances; 578,958 sentences; 13,271,885 words; 15,403 pages";"tokenised, MSD-tagged, lemmatised";"CC BY 4.0";;"This historical parliamentary corpus contains meeting proceedings of the National Representation of the Kingdom of Yugoslavia from 191 to 1939. The corpus comprises 714 sessions.#SEPThe source data (scanned images of printed Stenographic Minutes) come from the <a href=""https://www.sistory.si"">History of Slovenia - SIstory</a> portal. The images were OCR processed and the results saved as pdf, docx and txt. The documents are multilingual, in Serbo-Croatian and Slovenian, depending on the speaker. Serbo-Croatian is typeset in the Cyrillic (Serbian) or in the Latin (Croatian) alphabet.#SEPThe documents were automatically processed and the following data extracted: titles, agenda, attending, start and end of the session, speakers, and comments. <a href=""https://github.com/pemistahl/lingua-py"">Lingua</a> was used for language detection on the sentence level. Roughly 59% of sentences are in Serbian (Cyrillic script), 38% in Croatian (Latin script) and 3% in Slovenian. Some sentences in German and French were also detected. Linguistic annotation (tokenisation, MSD tagging and lemmatisation) was added using <a href=""https://github.com/clarinsi/classla"">CLASSLA</a> for Serbian, Croatian and Slovenian. Words in Serbian (Cyrillic script) have lemmas in Latin script.#SEP The corpus is available for download from the CLARIN.SI repository as well as for online browsing through the noSketch Engine and KonText concordancers.";"Parliamentary corpora";"Concordancer (noSketch)#SEPConcordancer (KonText)#SEPDownload";"https://www.clarin.si/ske/#dashboard?corpname=yu1parl#SEPhttps://www.clarin.si/kontext/query?corpname=yu1parl#SEPhttp://hdl.handle.net/11356/1845";;;
"Czech Parliamentary Meetings";"http://hdl.handle.net/11858/00-097C-0000-0005-CF9C-4";"Czech";"88 hours, 0.5 million tokens";"error correction of transcriptions, division into speech sections with speaker information";"CC-BY";;"The corpus contains recordings of the parliamentary sessions as well as corresponding transcriptions. #SEPThe corpus is available for download from LINDAT and through the concordancer KonText.  ";"Parliamentary corpora";"Concordancer#SEPDownload";"http://lindat.mff.cuni.cz/services/kontext/first_form?corpname=czechparl_2012_03_28_cs_w#SEPhttp://hdl.handle.net/11858/00-097C-0000-0005-CF9C-4";;;
"Large Corpus of Czech Parliament Plenary Hearings";"https://hdl.handle.net/11234/1-3126";"Czech";"444 hours";;"CC BY 4.0";;"This corpus contains audio recordings of Czech parliamentary sessions along with the corresponding transcriptions. The whole corpus has been segmented to short audio snippets making it suitable for both training and evaluation of automatic speech recognition (ASR) systems.#SEPThe corpus is available for download form the LINDAT reposiory.";"Parliamentary corpora";"Download";"http://hdl.handle.net/11234/1-3126";;;
"The Danish Parliament Corpus 2009 - 2017, v2";"http://hdl.handle.net/20.500.12115/44";"Danish";"40.6 million words";"no linguistic annotation";"CC-BY";;"The corpus contains Danish parliamentary debates from 2009 to 2017. #SEPThe corpus is available for download from the DK-CLARIN repository.";"Parliamentary corpora";"Download";"http://hdl.handle.net/20.500.12115/44";;;
"Hansard corpus";"http://www.clarin.ac.uk/hansard-corpus";"English";"1.6 billion tokens";"tokenised, PoS-tagged, lemmatised, semantic tagging";;;"The corpus contains British parliamentary debates from 1803 to 2005. It is semantically tagged with the <a href=""http://ucrel.lancs.ac.uk/usas/"">USAS semantic tagger</a> and the <a href=""http://www.sciencedirect.com/science/article/pii/S0885230816302121"">Historical Thesaurus Semantic Tagger</a> (HTST). #SEPThe corpus is available through a dedicated concordancer.";"Parliamentary corpora";"Concordancer";"https://www.hansard-corpus.org/x.asp";"Rayson et al. (2015)";"https://www.clarin.eu/resource-families/parliamentary-corpora#Rayson%20et%20al.%202015";
"Parliamentary Debates on Europe at the House of Commons (1998-2015)";"https://hdl.handle.net/11403/uk-parl/v1";"English";"190,000 tokens";"contextual and speaker metadata";"CC-BY";;"The corpus contains British parliamentary debates from 1998 to 2015. The contextual metadata in the corpus concern the dates of the council meetings, the description of the main topic(s) of the European council meeting, the place where the European Council meeting took place; they also correspond to information about the government and the legislative session. The speaker metadata correspond to name, gender, occupation, parliamentary group, political orientation and the opposition and majority division. #SEPThe corpus is available for download from Ortolang.";"Parliamentary corpora";"Download";"https://hdl.handle.net/11403/uk-parl/v1";"Truan and Romary (2021)";"https://www.clarin.eu/resource-families/parliamentary-corpora#truanromary2021";
