Corpus,Corpus_URL,Language,Size,Annotation,Licence,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
Croatian parliamentary corpus ParlaMeter-hr 1.0,http://hdl.handle.net/11356/1209,Croatian,14.1 million tokens,"tokenised, MSD-tagged, lemmatised, named entities",CC-BY,"The corpus contains minutes of the National Assembly of the Republic of Croatia and currently covers its VIth mandate from 15 November 2016 to 21 Nomveber 2018. The corpus contains speaker metadata (gender, age, education, party affiliation). #SEPThe corpus is available for download from the CLARIN.SI repository and through the concordancers <a href=""https://www.clarin.si/kontext/first_form?corpname=parlameter_hr"">KonText </a> and <a href=""https://www.clarin.si/noske/run.cgi/corp_info?corpname=parlameter_sl&amp;struct_attr_stats=1"">noSketchEngine</a>, as well as through a <a href=""https://parlametar.hr/"">dedicated webpage</a>.",Concordancer#SEPDownload,http://www.clarin.si/kontext/first_form?corpname=parlameter_hr#SEPhttp://hdl.handle.net/11356/1209,,,
Czech Parliamentary Meetings,http://hdl.handle.net/11858/00-097C-0000-0005-CF9C-4,Czech,"88 hours, 0.5 million tokens"," error correction of transcriptions, division into speech sections with speaker information",CC-BY,The corpus contains recordings of the parliamentary sessions as well as corresponding transcriptions. #SEPThe corpus is available for download from LINDAT and through the concordancer KonText.  ,Concordancer#SEPDownload,http://lindat.mff.cuni.cz/services/kontext/first_form?corpname=czechparl_2012_03_28_cs_w#SEPhttp://hdl.handle.net/11858/00-097C-0000-0005-CF9C-4,,,
"The Danish Parliament Corpus 2009 - 2017, v1",http://hdl.handle.net/20.500.12115/8,Danish,40.6 million words,no annotation,CC-BY,The corpus contains Danish parliamentary debates from 2009 to 2017. #SEPThe corpus is available for download from the DK-CLARIN repository.,Download,http://hdl.handle.net/20.500.12115/8,,,
Hansard corpus,http://www.clarin.ac.uk/hansard-corpus,English,1.6 billion tokens,"tokenised, PoS-tagged, lemmatised, semantic tagging",,"The corpus contains British parliamentary debates from 1803 to 2005. It is semantically tagged with the <a href=""http://ucrel.lancs.ac.uk/usas/"">USAS semantic tagger</a> and the <a href=""http://www.sciencedirect.com/science/article/pii/S0885230816302121"">Historical Thesaurus Semantic Tagger</a> (HTST). #SEPThe corpus is available through a dedicated concordancer.",Concordancer,https://www.hansard-corpus.org/x.asp,Rayson et al. (2015),https://www.clarin.eu/resource-families/parliamentary-corpora#Rayson%20et%20al.%202015,
Parliamentary Debates on Europe at the House of Commons (1998-2015),https://hdl.handle.net/11403/uk-parl/v1,English,"190,000 tokens",tokenised,CC-BY,The corpus contains British parliamentary debates from 1998 to 2015. #SEPThe corpus is available for download from Ortolang.,Download,https://hdl.handle.net/11403/uk-parl/v1,,,
Transcripts of Riigikogu (Estonian Parliament),http://www.cl.ut.ee/korpused/segakorpus/riigikogu/,Estonian,13 million tokens,tokenised,CLARIN_ACA,The corpus contains Estonian parliamentary debates from 1995 to 2001. #SEPThe corpus is available for download from a dedicated webpage and through a concordancer on the same webpage.,Concordancer#SEPDownload,http://www.keeleveeb.ee/#SEPhttp://www.cl.ut.ee/korpused/segakorpus/riigikogu/,,,
Plenary Sessions of the Parliament of Finland,http://metashare.csc.fi/repository/browse/plenary-sessions-of-the-parliament-of-finland-kielipankki-korp-version-1/f3a84694e91b11e6ba62005056be118e314e12f4553c478b9d1cac13f65a1444/,Finnish,22.4 million tokens,tokenised,CC-BY,The corpus contains Finnish parliamentary debates from 2008 to 2016. #SEPThe corpus is available through the concordancer Korp.,Concordancer,https://korp.csc.fi/#?prequery_within=sentence&cqp=%5B%5D&corpus=eduskunta&lang=en,,,
Parliamentary Debates on Europe at the Assembl�e nationale (2002-2012),https://hdl.handle.net/11403/fr-parl/v1,French,"137,000 tokens",tokenised,CC-BY,The corpus contains French parliamentary debates from 2002 to 2005. #SEPThe corpus is available for download from Ortolang.,Download,https://hdl.handle.net/11403/fr-parl/v1,,,
Parliamentary Debates on Europe at the Bundestag (1998-2015),https://hdl.handle.net/11403/de-parl/v1,German,"417,000 tokens",tokenised,CC-BY,The corpus contains German parliamentary debates from 1998 to 2015. #SEPThe corpus is available for download from Ortolang.,Download,https://hdl.handle.net/11403/de-parl/v1,,,
ParlAT beta,https://www.oeaw.ac.at/acdh/tools/parlat/,German (Austrian),75.2 million tokens,"tokenised, linked data (e.g., speaker information)",,"This corpus contains Austrian parliamentary proceedings from 1996 to 2017. #SEPCurrently in development, ParlAT is planned to be a monitor corpus with new material added over time.",,,Wissik and Pirker (2018),https://www.clarin.eu/resource-families/parliamentary-corpora#Wissik%20and%20Pirker%202018,
"Hellenic Parliament Minutes (1989-1994, 1997-2018)",http://hdl.grnet.gr/11500/AEGEAN-0000-0000-57FA-5,Greek,181 million words,,CC-BY-NC,The corpus contains Greek parliamentary debates for two periods: 1989-1994 and 1997-2018. #SEPThe corpus is available for download from the CLARIN:el repository.,Download,http://hdl.grnet.gr/11500/AEGEAN-0000-0000-57FA-5,,,
Speeches of Politicians in the Greek Parliament,http://hdl.grnet.gr/11500/AEGEAN-0000-0000-5808-5,Greek,"258,036 words",,CC-BY-NC,"This corpus contains speeches delivered by 5 members of parliament: Dimitris Anagnostakis, Nikos Tsoukalis, Paros Koukoulopoulos, Niki Founta, and Panayiotis Kammenos. #SEPThe corpus is available for download from the CLARIN:el repository. ",Download,http://hdl.grnet.gr/11500/AEGEAN-0000-0000-5808-5,,,
Lithuanian Parliament Corpus for Authorship Attribution,http://hdl.handle.net/20.500.11821/17,Lithuanian,23.9 million tokens,"tokenised, PoS-tagged, lemmatised",,"The corpus contains Lithuanian parliamentary debates from 1990 to 2013.  It is annotated with <a href=""http://www.lvb.lt/primo_library/libweb/action/dlDisplay.do?vid=LDB&amp;docId=TLITLIJ.04~2000~1367182714637&amp;fromSitemap=1&amp;afterPDS=true"">Lemuoklis</a> (morphological analyzer for lemmatization) and <a href=""http://www.maltparser.org/"">MaltParser</a> (generation of dependency tags). #SEPThe corpus is available for download from the repository of CLARIN-LT.",Download,http://hdl.handle.net/20.500.11821/17,,,
Proceedings of Norwegian Parliamentary Debates,http://hdl.handle.net/11495/DA65-D02F-0EB0-9,Norwegian,29 million tokens,tokenised,,The corpus contains Norwegian parliamentary debates from 2008 to 2015. #SEPThe corpus is available through the concordancer Corpuscle.,Concordancer,http://hdl.handle.net/11495/DA65-D02F-0EB0-9,,,
Talk of Norway,http://hdl.handle.net/11509/123,Norwegian,63.8 million tokens," tokenised, PoS-tagged, lemmatised",NLOD,The corpus contains Norwegian parliamentary debates from 1998 to 2016. #SEPThe corpus is available for download from the CLARINO repository.,Download,http://hdl.handle.net/11509/123,,,
