Corpus,Corpus_URL,Size,Annotation,Licence,Language,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
Griffith Corpus of Spoken Australian English,https://www.ausnc.org.au/corpora/gcsause,"32,134 words",,,English,This corpus is available for download and through the concordancer of the Australian National Corpus.,Concordancer#SEPDownload,https://www.ausnc.org.au/corpora/gcsause#SEPhttp://www.ausnc.org.au/corpora/gcsause,,,
Spoken BNC2014,http://cass.lancs.ac.uk/cass-projects/spoken-bnc2014/,10 million words,,,English,This corpus contains face-to-face conversations between people who speak British English as their first language.#SEPThe corpus is available through the CQP concordancer.,Concordancer,http://corpora.lancs.ac.uk/bnc2014,,,
The Aston Corpus of West Midlands English (ACWME),http://www.aston.ac.uk/lss/research/lss-research/ccisc/discourse-and-culture/acwme/,,orthographically transcribed,,English,"This corpus contains recordings of performances - comedy, drama, poetry, song and story-telling - and related interviews with performers, members of the audience and local and national celebrities.#SEPThe corpus is available for download from a dedicated webpage.",Download,http://www.aston.ac.uk/lss/research/lss-research/ccisc/discourse-and-culture/acwme/,,,
Vienna-Oxford International Corpus of English,http://voice.univie.ac.at/,,,,English,"This corpus contains naturally occurring, non-scripted face-to-face interactions in English as a lingua franca (ELF).#SEPThe corpus is available through a dedicated concordancer.",Concordancer,http://voice.univie.ac.at/,,,
AN.ANA.S._MT,http://www.parlaritaliano.it/index.php/it/corpora-di-parlato/716-corpus-ananas-multilingue-ananasmt,,,,"English, Italian, Spanish",This corpus contains TV-broadcasts and elicited dialogues.,,,,,
Babel - A Multi Language Database,http://metashare.ilsp.gr:8080/repository/browse/hungarian-babel/9c27b9d481b611e2892a000c29bfc0d46a94c6ce19b843b3a452b382e2e64832/,,orthographically transcribed,,Hungarian,This corpus contains various elicited speech tasks.,,,,,
BEA (Hungarian Spontaneous Speech Database) ,http://metashare.nytud.hu/repository/browse/bea-hungarian-spontaneous-speech-database/808c4c306ba911e2aa7c68b599c26a062458e40404d44e4087901b5b720d2765/,465 recordings,partial transcription,restricted,Hungarian,This corpus contains spontaneous speech.,,,,,
Hungarian Broadcast News Database,http://metashare.elda.org/repository/browse/hungarian-broadcast-news-database/99bc21d081b611e2892a000c29bfc0d4d3d173ede2e64475b596aa1857a64541/,"25,000 words, 3.5 hours",audio-level annotations,META_SHARE NC-NoReD,Hungarian,This corpus is available for download (upon request) from META-SHARE.,Download,http://metashare.elda.org/repository/browse/hungarian-broadcast-news-database/99bc21d081b611e2892a000c29bfc0d4d3d173ede2e64475b596aa1857a64541/,,,
"Hungarian Gigaword Corpus / ""spoken language"" subcorpus",http://hnc.nytud.hu/index_eng.html,76 million words,"PoS-tagged, MSD-tagged",,Hungarian,This corpus contains radio broadcasts (reading aloud and spontaneous conversation)#SEPThe corpus is available through the Hungarian Gigaword Corpus concordancer.,Concordancer,http://clara.nytud.hu/mnsz2-dev/bonito/run.cgi/first_form?uilang=en,,,
Hungarian Kindergarten Language Corpus,http://metashare.nytud.hu/repository/browse/hungarian-kindergarten-language-corpus/b572a8106ba711e2aa7c68b599c26a06a4db2e695cf94a1cad6bf6793d747d2a/,"192,000 words","PoS-tagged, MSD-tagged",restricted,Hungarian,This corpus contains elicited speech tasks (picture descriptions) and guided conversation with children.#SEPThe corpus is available for download through META-SHARE.,Download,http://metashare.nytud.hu/repository/browse/hungarian-kindergarten-language-corpus/b572a8106ba711e2aa7c68b599c26a06a4db2e695cf94a1cad6bf6793d747d2a/,,,
