Corpus;Corpus_URL;Size;Annotation;Licence;Language;Description;Buttons;Buttons_URL;Publication;Publication_URL;Note
English-Greek Dictionary of False Friends;http://hdl.grnet.gr/11500/UOA-0000-0000-25EC-D;1,000 entries;;1,000 entries;English-Greek;This is a dictionary of false friends available for download from clarin:el.;Download;http://hdl.grnet.gr/11500/UOA-0000-0000-25EC-D;;;
English-Estonian Machine Translation Dictionary;http://www.doi.org/10.15155/3-00-0000-0000-0000-0001CL;90,000 entries;;BSD - Style;Estonian, English;This is a constantly incremented English-Estonian online dictionary, which is helpful in both human and machine translation. The resource is available for online browsing.;Browse;http://portaal.eki.ee/dict/ies/;;;
The Online Dictionary of Estonian Sign Language - Estonian;http://doi.org/10.15155/3-00-0000-0000-0000-0633AL;4,000 keywords;;CLARIN ACA;Estonian, Estonian Sign Language;The dictionary contains over 4,000 entry words, enabling search either by an Estonian word or a by a sign of Estonian sign language.#SEPThe resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://www.eki.ee/dict/viipekeel/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-0633AL;;;
Finnish-Estonian Dictionary;http://doi.org/10.15155/3-00-0000-0000-0000-06BA2L;90,000 keywords;;CC-BY;Estonian, Finnish;This is the web-version of the two-volume Finnish-Estonian Dictionary (2003). The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://www.eki.ee/dict/soome/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-06BA2L;;;
Comprehensive Estonian-French Dictionary;http://doi.org/10.15155/9-00-0000-0000-0000-0002DL;15,300 keywords;;undefined;Estonian, French;This is a bilingual dictionary that is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://www.estfra.ee/#SEPhttp://doi.org/10.15155/9-00-0000-0000-0000-0002DL;;;
Estonian-Latvian Dictionary;https://www.letonika.lv/eelv/;25,000 entries;;;Estonian, Latvian;This is a bilingual dictionary that is available for online browsing.;Browse;http://www.letonika.lv/eelv/;;;
The Estonian-Latvian-Estonian Dictionary;http://doi.org/10.15155/3-00-0000-0000-0000-05B4BL;47,000 keywords;;CLARIN ACA;Estonian, Latvian;This bilingual dictionary is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://www.eki.ee/dict/et-lv/#SEPhttp://10.0.59.51/3-00-0000-0000-0000-05B4BL;;;
The Estonian-Mari Dictionary;https://doi.org/10.15155/3-00-0000-0000-0000-0668BL;9,800 keywords;;CLARIN ACA;Estonian, Mari;This bilingual dictionary is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://www.eki.ee/dict/mari/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-0668BL;;;
The Estonian-Norwegian-Estonian Dictionary;http://doi.org/10.15155/3-00-0000-0000-0000-05B57L;19,000 Estonian keywords, 21,000 Norwegian keywords;;CLARIN ACA;Estonian, Norwegian;This bilingual dictionary is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://portaal.eki.ee/dict/et-no/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05B57L;;;
Estonian-Russian Learner's Orthographic Dictionary;http://doi.org/10.15155/3-00-0000-0000-0000-05B4DL;23,000 keywords;;CLARIN ACA;Estonian, Russian;The Estonian-Russian Learner's dictionary is mainly meant for those learners of Estonian whose mother tongue is Russian or who learn it through Russian. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://www.eki.ee/dict/qqv/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-05B4DL;;;
The Estonian-Russian Dictionary;http://www.doi.org/10.15155/3-00-0000-0000-0000-0001BL;66,423 keywords;;CC-BY;Estonian, Russian;This is the most comprehensive Estonian-Russian dictionary. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://portaal.eki.ee/dict/evs/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-0001BL;;;
The Russian-Estonian Dictionary;http://www.doi.org/10.15155/3-00-0000-0000-0000-05B5BL;74,000 keywords;;CC-BY;Estonian, Russian;This bilingual dictionary is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://www.eki.ee/dict/ves/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05B5BL;;;
The Estonian-Udmurt Dictionary;http://www.doi.org/10.15155/3-00-0000-0000-0000-05BEEL;10,000 keywords;;CLARIN ACA;Estonian, Udmurt;This is the first-ever bilingual dictionary of Estonian and Udmurt that also accounts for dialectal variation. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://portaal.eki.ee/dict/eud/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05BEEL;;;
Multilingual dictionaries;http://hdl.grnet.gr/11500/ATHENA-0000-0000-23C7-8;;MSD-tags, semantic information, multi-word units;CC-BY-NC;Greek, English, Bulgarian, Romanian, German, Polish;This is a collection of dictionaries created on the basis of Wikipedia articles. The collection is available for download from clarin:el.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-23C7-8;;;
French-Greek lexicon of idioms;http://hdl.grnet.gr/11500/UOA-0000-0000-2574-4;293 entries;;CC-BY-ND;Greek, French;This is a glossary of idioms that supplies their wider contextual information (the context, the level of language, the connotation, the feeling that it transfers). The resource is available for download from clarin:el.;Download;http://hdl.grnet.gr/11500/UOA-0000-0000-2574-4;;;
ISLEX;http://clarin.is/en/resources/islex/;48,700 entries;"Icelandic headwords with pronunciation (sound files) and inflection; translations into Danish, Norwegian (Bokmål and Nynorsk), Swedish, Faroese";CC-BY-NC-ND;Icelandic, Danish, Norwegian (Bokmål), Norwegian (Nynorsk), Swedish, Faroese;This multilingual dictionary is available for download from CLARIN-IS as well as for online browsing.;Browse#SEPDownload;http://islex.hi.is/#SEPhttp://www.malfong.is/index.php?dlid=50&lang=is;Úlfarsdóttir (2014);https://www.clarin.eu/resource-families/lexical-resources-dictionaries#%C3%9Alfarsd%C3%B3ttir%202014;
Kven-Norwegian Bokmål dictionary;http://hdl.handle.net/11509/89;8,468 entries;;CC-BY 3.0;Kven Finnish - Norwegian Bokmål;This is a bilingual dictionary that is available for download from CLARINO.;Download;http://hdl.handle.net/11509/89;;;
Mühlenbach­ Endzelin Latvian Dictionary (MEV);http://tezaurs.lv/mev/;120,000 entries;;;Latvian (German);This is a bilingual dictionary that is available for online browsing.;Browse;http://tezaurs.lv/mev/;;;
English-Latvian Dictionary;https://www.letonika.lv/groups/default.aspx?g=2&r=10331062&f=1;70,000 entries;;;Latvian, English;This is a bilingual dictionary that is available for online browsing.;Browse;http://www.letonika.lv/groups/default.aspx?g=2&r=10331062&f=1;;;
Latvian-English Dictionary;https://www.letonika.lv/groups/default.aspx?g=2&r=10621033&f=1;80,000 entries;;;Latvian, English;This is a bilingual dictionary that is available for online browsing.;Browse;http://www.letonika.lv/groups/default.aspx?g=2&r=10621033&f=1;;;
Latvian-Latgalian Dictionary;http://vuordineica.lv/;25,700 entries;;;Latvian, Latgalian;This is a bilingual dictionary that is available for online browsing.;Browse;http://vuordineica.lv/;;;
Latvian-Lithuanian Dictionary;https://www.letonika.lv/lvlt/;43,000 entries;;;Latvian, Lithuanian;This is a bilingual dictionary that is available for online browsing.;Browse;http://www.letonika.lv/lvlt/;;;
Latvian-Russian Dictionary;https://www.letonika.lv/groups/default.aspx?g=2&r=10621049;44,000 entries;;;Latvian, Russian;This is a bilingual dictionary that is available for online browsing.;Browse;http://www.letonika.lv/groups/default.aspx?g=2&r=10621049;;;
Lithuanian-Latvian Dictionary;https://www.letonika.lv/ltlv/;60,000 entries;;;Lithuanian, Latvian;This is a bilingual dictionary that is available for online browsing.;Browse;http://www.letonika.lv/ltlv/;;;
Lithuanian-Latvian-Latgalian Dictionary (LLL);http://hipilatlit.ru.lv/dictionary/eng/dictionary.html;42,061 headwords;;;Lithuanian, Latvian, Latgalian;This is a trilingual dictionary that is available for online browsing through a dedicated environment.;Browse;http://hipilatlit.ru.lv/dictionary/eng/dictionary.html;;;
Livonian-Estonian-Latvian Dictionary;http://www.livones.net/lingua/en;;;;Livonian, Estonian, Latvian;This is a trilingual dictionary that is available for online browsing.;Browse;http://www.livones.net/lingua/en;;;
The Livonian-German Dictionary;http://doi.org/10.15155/3-00-0000-0000-0000-0633CL;;;CLARIN ACA;Livonian, German;This bilingual dictionary is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://www.eki.ee/dict/ldw/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-0633CL;;;
Basic English-Maltese Dictionary;https://portulanclarin.net/repository/browse/basic-english-maltese-dictionary/13fc5802abc511e1a404080027e73ea2a210be7dd5c44a3b9dd47afb4b2a34ef/;5,458 entries;;MS-BY-NC-SA;Maltese, English;This is a bilingual dictionary of alphabetically ordered English lemmas with their Maltese translation and Maltese pronunciation. The resource is unavailable for download or online browsing, but can be accessed by contacting the resource manager.;;;;;
North Saami-Finnish dictionary;http://hdl.handle.net/11509/97;11,297 entries;;CC-BY 3.0;Northern Sami, Finnish;This is a bilingual dictionary that is available for download from CLARINO.;Download;http://hdl.handle.net/11509/97;;;
Norwegian Bokmål-North Saami dictionary;http://hdl.handle.net/11509/94;25,902 entries;;CC-BY 3.0;Norwegian Bokmål, Northern Sami;This is a bilingual dictionary that is available for download from CLARINO.;Download;http://hdl.handle.net/11509/94;;;
Norwegian Bokmål-South Saami dictionary;http://hdl.handle.net/11509/93;12,951 entries;;CC-BY 3.0;Norwegian Bokmål, Southern Sami;This is a bilingual dictionary that is available for download from CLARINO.;Download;http://hdl.handle.net/11509/93;;;
Norwegian-Vietnamese Dictionary;http://hdl.handle.net/11509/22;11,635 entries;phonetic transcription, PoS-tags, translation and example sentences;CC-BY-NC-ND 3.0;Norwegian, Vietnamese;This is a bilingual dictionary that is available for download from CLARINO.;Download;http://hdl.handle.net/11509/22;;;
Russian-Latvian Dictionary;https://www.letonika.lv/groups/default.aspx?g=2&r=10491062&f=1;;;;Russian, Latvian;This is a bilingual dictionary that is available for online browsing.;Browse;http://www.letonika.lv/groups/default.aspx?g=2&r=10491062&f=1;;;
Etymological Database of the Saami Languages;http://urn.fi/urn:nbn:fi:lb-20140730111;growing;;EUPL;Saami languages, Finnish;This is an etymological knowledge base available for online browsing through FIN-CLARIN.;Browse;http://www.kotus.fi/index.phtml?s=143;;;
Slovenian-German Dictionary of Maks Pleteršnik (1894-1895);http://hdl.handle.net/11356/1114;103,185 entries;;CC-BY 4.0;Slovenian, German;This is a historical dictionary compiling the works of Maks Pleteršnik. The resource is available for download from CLARIN.SI and for online browsing.;Browse#SEPDownload;http://www.fran.si/136/maks-pletersnik-slovensko-nemski-slovar#SEPhttp://hdl.handle.net/11356/1114;;;
Japanese-Slovene learner's dictionary jaSlo 3.1;http://hdl.handle.net/11356/1050;9,891 entries;headwords in all Japanese scripts, PoS-tags, difficulty level, Slovene glosses, Slovenian translation equivalents, examples of use;CC-BY-SA 4.0;Slovenian, Japanese;This is a learner’s dictionary for Slovenian students of Japanese. The resource is available for download from CLARIN.SI and for online browsing.;Browse#SEPDownload;http://nl.ijs.si/jaslo/cgi/jaslo.pl#SEPhttp://hdl.handle.net/11356/1050;;;
Swedish-South Saami dictionary;http://hdl.handle.net/11509/99;3,351 entries;;CC-BY 3.0;Swedish, Southern Sami;This is a bilingual dictionary that is available for download from CLARINO.;Download;http://hdl.handle.net/11509/99;;;
