Corpus;Corpus_URL;Size;Annotation;Licence;Language;Description;Buttons;Buttons_URL;Publication;Publication_URL;Note
INT IMPACT NE Lexicon;https://ivdnt.org/downloads/taalmaterialen/tstc-ne-lexicon-nederlands;200,000 lemmas;;other;Dutch;This is a glossary that features historical names and variants for the period between 1750 and 1945. The resource is available for download from the Dutch Language Institute (INT).;Download;http://ivdnt.org/downloads/taalmaterialen/tstc-ne-lexicon-nederlands;;;
A Terminological Inventory for Biodiversity;http://doi.org/21.11115/0000-000B-D395-E;288,562 Entries;semantic relatedness;CC-BY;English;This is a glossary of animal species available for download from CLARIN PORTULAN and online browsing.;Browse#SEPDownload;http://nactem.ac.uk/bhl_inventory/#SEPhttp://doi.org/21.11115/0000-000B-D395-E;;;
Time-sensitive inventory of medical terminology;http://doi.org/21.11115/0000-000B-D37A-E;175,000 entries;Semantics - relations (synonyms, holonymy, hyperonymy, ...);CC-BY;English;This glossary is available for download from CLARIN PORTULAN.;Download;http://doi.org/21.11115/0000-000B-D37A-E;;;
Dictionary of Estonian Place Names;http://doi.org/10.15155/3-00-0000-0000-0000-07004L;6,214 keywords;;CC-BY;Estonian;This etymological glossary contains all official village names of Estonia and selected group of other Estonian place names. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.;Browse#SEPDownload;http://www.eki.ee/dict/knr/#SEPhttp://doi.org/10.15155/3-00-0000-0000-0000-07004L;;;
The Family Name Database of the Institute of the Estonian Language;http://doi.org/10.15155/3-00-0000-0000-0000-06340L;;;CLARIN ACA;Estonian;This glossary is available for online browsing.;Browse;http://keeleabi.eki.ee/isikunimed/index.php;;;
The Place Name Database of the Institute of the Estonian Language (KNAB);http://doi.org/10.15155/3-00-0000-0000-0000-05927L;"428,344 elements; 145,261 elements";;CLARIN ACA;Estonian;This glossary is available for online browsing.;Browse;http://portaal.eki.ee/knab;;;
Glossary of Ancient Greek dramaturgy;http://hdl.grnet.gr/11500/IONION-0000-0000-2510-4;228 Lexical Types;;CC-BY;Greek;This is a glossary of terms related to Ancient Greek Dramaturgy. The resource is available for download from clarin:el.;Download;http://hdl.grnet.gr/11500/IONION-0000-0000-2510-4;;;
Xenophobia;https://inventory.clarin.gr/resources/search/?q=xenophobia;12 knowledge bases;;CC-BY;Greek;This is a collection of 12 knowledge bases on various forms of xenophobia, available for download from clarin:el.;Download;http://inventory.clarin.gr/resources/search/?q=xenophobia;;;
The Dictionary of the Clothing Terminology of the Zilja Dialect in Canale Valley (Kanalska dolina – Val Canale – Kanaltal – Valcjanâl);http://hdl.handle.net/11356/1217;594 entries;MSD-tags, phonological information;CC-BY 4.0;Slovenian;"This is a term dictionary of Clothing Terminology of the Zilja Dialect spoken in the Val Canale Valley. Entries in the dictionary are equipped with <a href=""http://hdl.handle.net/11356/1220"">sound clips</a> and <a href=""http://hdl.handle.net/11356/1221"">illustrative photographs</a> of traditional clothing items. The resource is available for download from CLARIN.SI and for online browsing.";Browse#SEPDownload;https://fran.si/iskanje?FilteredDictionaryIds=210&View=1&Query=%2A#SEPhttp://hdl.handle.net/11356/1217;;;
Name Component Lexicon;http://urn.fi/urn:nbn:fi:lb-20140730188;;;EUPL;Swedish;This is a glossary of the most common elements out of which Swedish place names are built. The resource is available online through FIN-CLARIN.;Browse;http://kaino.kotus.fi/svenska/ledlex/;;;
