"Corpus";"Corpus_URL";"Language";"Size";"Annotation";"Licence";"Description";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"DIAKORP v6";"http://wiki.korpus.cz/doku.php/en:cnk:diakorp";"Czech";"4 million tokens";"basic structural markup";"CC-BY-NC-SA";"This corpus contains texts from the 14th to the 20th century.#SEPThe corpus is available through a dedicated concordancer.";"Concordancer";"https://www.korpus.cz/";;;
"ARCHER Corpus";"http://www.projects.alc.manchester.ac.uk/archer/";"English";;;;"The corpus contains texts from 1600 to 1999.#SEPThe corpus is available through the CQPConcordancer. ";"Concordancer";"https://cqpweb.lancs.ac.uk/archer_untagged/";;;
"ECCO-TCP";"https://textcreationpartnership.org/tcp-texts/ecco-tcp-eighteenth-century-collections-online/";"English";"74 million tokens";"no linguistic annotation";"CC-0";"This corpus contains texts (literature, philosophy, politics, religion, geography, science and all other areas of human endeavour) from 1700 to 1800.#SEPThe corpus is available for download from a dedicated webpage  and through a dedicated concordancer.";"Concordancer#SEPDownload";"https://quod.lib.umich.edu/e/ecco/#SEPhttps://textcreationpartnership.org/tcp-texts/ecco-tcp-eighteenth-century-collections-online/";;;
"EEBO-TCP";"https://textcreationpartnership.org/tcp-texts/eebo-tcp-early-english-books-online/";"English";"766 million tokens";"no linguistic annotation";"CC-0";"This corpus contains texts (literature, philosophy, politics, religion, geography, science and all other areas of human endeavour) from 1450 to 1750.#SEPThe corpus is available through a dedicated concordancer.";"Concordancer";"https://quod.lib.umich.edu/e/eebogroup/";;;
"EVANS-TCP";"https://textcreationpartnership.org/tcp-texts/evans-tcp-evans-early-american-imprints/";"English";"766 million tokens";"no linguistic annotation";"CC-0";"This corpus contains American texts from 1640 to 1821.#SEPThe corpus is available through a dedicated concordancer.";"Concordancer";"https://quod.lib.umich.edu/e/evans/";;;
"Historical Corpora at Lancaster University";"https://cqpweb.lancs.ac.uk/";"English";;"tokenised, PoS-tagged, partial semantic tagging (USAS system)";;"The corpus contains texts in various domains (e.g., fiction, newspaper texts, religious texts) from 1500 on.#SEPThe corpus is available through the CQPConcordancer.";"Concordancer";"https://cqpweb.lancs.ac.uk/";;;
"Frantext";"https://www.frantext.fr/";"French";"300 million words";"PoS-tagged, lemmatised";;"This corpus contains texts from the 10th to the 21st century.#SEPThe corpus is available through a dedicated concordancer (restricted access).";"Concordancer";"https://www.frantext.fr/";;;
"Corpus of Old and Middle Hungarian court records and private correspondence";"http://tmk.nytud.hu/about.php";"Hungarian";"850,000 words";"tokenised, MSD-tagged, lemmatised, sociolinguistic metadata";;"This corpus contains private letters and testimonies from the 16th to the 18th  century.#SEPThe corpus is available through a dedicated concordancer.";"Concordancer";"http://tmk.nytud.hu/3/";;;
"Old Hungarian Corpus";"http://oldhungariancorpus.nytud.hu/en-descr.html";"Hungarian";"3 million tokens";"tokenised, partially normalized, partially MSD-tagged";;"This corpus contains texts (codices, letters) from the 12th to the 17th century.#SEPThe corpus is available for download from a dedicated webpage and through a dedicated concordancer.";"Concordancer#SEPDownload";"http://oldhungariancorpus.nytud.hu/en-search.html#SEPhttp://oldhungariancorpus.nytud.hu/en-codices.html";;;
"Corpus testuale del Tesoro della Lingua Italiana delle Origini";" http://tlio.ovi.cnr.it/TLIO/";"Italian";"23 million tokens";"tokenised, lemmatised";;"This corpus contains early Italian texts before 1375.#SEPThe corpus is available through a dedicated concordancer.";"Concordancer";" http://tlio.ovi.cnr.it/TLIO/ ";;;
"DiaCORIS";"http://corpora.dslo.unibo.it/coris_ita.html";"Italian";;;;"This corpus contains texts from 1861 to 1945.#SEPThe corpus is available through a dedicated concordancer.";"Concordancer";"http://corpora.dslo.unibo.it/DiaCORIS/";"Rossini Favretti et al. (2011).";"https://www.clarin.eu/resource-families/historical-corpora#Rossini%20Favretti%20et%20al.%202011";
"M.I.DIA. (Morfologia dell'Italiano in DIAcronia)";"http://www.corpusmidia.unito.it/";"Italian";"7.5 million tokens";"tokenised";"CC-BY-NC 4.0";"This corpus contains texts from the 13th to the 20th century.#SEPThe corpus is available through a dedicated concordancer";"Concordancer";"http://www.corpusmidia.unito.it/";;;
"Corpus of the 19. century Polish (Korpus polszczyzny XIX-wiecznej)";"http://korpus19.nlp.ipipan.waw.pl/";"Polish";"625,000 tokens";"tokenised, PoS-tagged, lemmatised, transliteration, transcripton";;"This corpus contains texts from 1830 to 1918.#SEPThe corpus is available for download through a dedicated webpage.";"Download";"http://korpus19.nlp.ipipan.waw.pl/static/korpus19-TEI-XML-02102018.tar.gz";;;
"The Electronic Corpus of 17th- and 18th-century Polish Texts (Elektroniczny Korpus Tekstów Polskich z XVII i XVIII w.)";"Polish";"13.5 million tokens";"tokenised, partially PoS-tagged, structural annotation";;"This corpus contains texts from 1601 to 1772.#SEPThe corpus is available through a dedicated concordancer";" a manually annotated subset is available <a href=""https://korba.edu.pl/download"">here</a>.";"Concordancer";"https://korba.edu.pl/query_corpus/";;;
"IMPACT GT corpus (Korpus GT projektu IMPACT)";"https://szukajwslownikach.uw.edu.pl/IMPACT_GT_1/";"Polish";"1.5 million tokens";"transcription";;"This corpus contains texts from 1570 to 1756.#SEPThe corpus is available through a dedicated concordancer.";"Concordancer";"https://szukajwslownikach.uw.edu.pl/IMPACT_GT_1/";"Bień (2012).";"https://www.clarin.eu/resource-families/historical-corpora#Bie%C5%84%202012";
"Corpus Informatizado do Português Medieval";"http://cipm.fcsh.unl.pt/";"Portuguese";"2 million tokens";"tokenised, PoS-tagged";;"This corpus contains texts from the 9th to the 16th century.#SEPThe corpus is available through a dedicated concordancer (restricted access).";"Concordancer";"http://cipm.fcsh.unl.pt/login.jsp";;;
"Parsed Corpus of Historical Portuguese";"http://www.tycho.iel.unicamp.br/";"Portuguese";"3.3 million";"tokenised, PoS-tagged (2 million), treebanked (1.2 million)";;"This corpus contains 76 texts written by authors born between 1380 and 1881.#SEPThe corpus is available for download and through a dedicated concordancer.";"Concordancer#SEPDownload";"http://www.tycho.iel.unicamp.br/~tycho/corpus/texts/csquery/en/csquery.html#SEPhttp://www.tycho.iel.unicamp.br/~tycho/corpus/en/index.html";;;
