"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Language";"Description";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Annotated Corpus of Czech Case Law for Reference Recognition Tasks";"http://hdl.handle.net/11234/1-3008";;"legal references (identifier of court decision; author of law book or article, etc.)";"CC BY 4.0";"Czech";"This corpus consists of 350 manually annotated decision at Czech top-tier courts (Supreme Court, Supreme Administrative Court, Constitutional Court). Each decision has been manually annotated by two trained annotators; the corpus is primarily developed as training and testing materials for reference recognition tasks. See also the variant of this corpus annotated for <a href=""https://hdl.handle.net/11372/LRT-2901"">segmentation tasks</a>.#SEPThe corpus is available for download from LINDAT.";"Download";"http://hdl.handle.net/11234/1-3008";"Harašta et al. (2018)";"https://doi.org/10.1007/978-3-030-00794-2_26  ";
"Czech Court Decisions Corpus (CzCDC 1.0)";"https://hdl.handle.net/11372/LRT-3052";"460 million words";"unannotated";"CC BY-NC 4.0";"Czech";"This corpus contains transcriptions of court decisions from three top-tier courts (Supreme, Supreme Administrative, and Constitutional) in Czechia, published between 1993 and 2018.#SEPThe corpus is available for download from LINDAT.";"Download";"https://hdl.handle.net/11372/LRT-3052";"Novotná and Harašta (2019)";"https://arxiv.org/abs/1910.09513";
"Czech Legal Text Treebank";"http://hdl.handle.net/11234/1-2498";"1128 sentences";"manual syntactic annotation; manual annotation of entities from the accouting domain and relations definition, obligation, right";"CC BY-NC-SA 4.0";"Czech";"This corpus consists of two legal documents: Accounting Act (563/1991 Coll., as amended) and Decree on Double-entry Accounting for undertakers (500/2002 Coll., as amended).#SEPThe corpus is available for download from LINDAT and online browsing through the treebank viewer PML-TQ and the concordancer KonText.";"Download#SEPPML-TQ#SEPKonText";"https://hdl.handle.net/11234/1-2498#SEPhttp://lindat.mff.cuni.cz/services/pmltq/#!/treebank/cltt20/query/#SEPhttp://lindat.mff.cuni.cz/services/kontext/first_form?corpname=legaltext_cs_a";"Kríž and Hladka (2018)";"https://aclanthology.org/L18-1713.pdf";
"META-NORD Acquis Danish Treebank";"http://hdl.handle.net/11495/D9BE-2D15-4C1C-1";"102 sentences; 1799 words";"syntactically parsed (constituency); sentence/phrase/word segmentation";"CC BY 4.0";"Danish";"This is a subcorpus of the META-NORD Acquis Parallel Treebank.#SEPThe corpus is available for download and online browsing through INESS (CLARINO).";"Download#SEPBrowse";"http://hdl.handle.net/11495/D9BE-2D15-4C1C-1#SEPhttp://hdl.handle.net/11495/D9BE-2D15-4C1C-1";;;
"Corpus Juridisch Nederlands";"http://hdl.handle.net/10032/tm-a2-u2";"5,856 texts";"lemmatised, PoS-tagged";"CLARIN PUB";"Dutch";"This corpus contains legal texts from 1814 to 1989, compiled year by year.#SEPThe corpus is available for online browsing on a dedicated webpage";"Browse";"https://corpusjuridischnederlands.ivdnt.org/corpus-frontend/juridisch-corpus/search/";"de Does et al. (2017)";"https://doi.org/10.5334/bbi";
"CABank English SCOTUS Oral Arguments Corpus";"http://https://hdl.handle.net/10.21415/T5Z315";;"speaker segmentation, sociolinguistic annotation";"CC BY-NC-SA 3.0";"English";"This corpus consists of transcripts and recordings of oral arguments at the Supreme Court of the United States.#SEPThe transcripts and audio recordings are aligned at the utterance level; the utterances are annotated based on speaker role (the primary one being Justice) and name, as well as gender.#SEPThe corpus is part of the CABank collection and available for download from and online browsing through TalkBank.";"Browse#SEPDownload";"https://sla.talkbank.org/TBB/ca/SCOTUS/OralArguments#SEPhttps://ca.talkbank.org/data/SCOTUS/OralArguments.zip";"Johnson and Goldman (2009)";"https://doi.org/10.3998/mpub.243263";
"The English Sub-corpus of MULCOLD, Multilingual Parallel Corpus of Legal Texts";"http://urn.fi/urn:nbn:fi:lb-2016042605";"359,874 tokens";"lemmatised, MSD-tagged";"CC BY-ND";"English";"This corpus, which is a subcorpus of <a href=""http://urn.fi/urn:nbn:fi:lb-201405278"">MULCOLD</a> (see also the <a href=""https://www.clarin.eu/resource-families/parallel-corpora"">Parallel corpora</a> resource family) contains international conventions and treaties.#SEPThe corpus is available for online browsing through the concordancer Korp (FIN-CLARIN Distribution).";"Browse";"http://urn.fi/urn:nbn:fi:lb-2016042605";;;
"English Acquis Communautaire";"https://hdl.handle.net/21.11129/0000-000B-D50A-A";"34.6 million tokens";;"MIT (academic)";"English";"This corpus contains selected texts from the <a href=""https://en.wikipedia.org/wiki/Acquis_communautaire"">Acquis Communautaire</a> between the 1950s and today, translated to English.#SEPThe corpus is available for download from PORTULAN.";"Download";"https://hdl.handle.net/21.11129/0000-000B-D50A-A";"Steinberger et al. (2006)";"https://aclanthology.org/L06-1196/";
"Old Bailey Corpus";"http://hdl.handle.net/11858/00-246C-0000-0023-8CFB-2";"24.4 million words";"sociolinguistic annotation";"CC BY-NC-SA 4.0";"English (Late Modern)";"This historical corpus consists of <a href=""http://www.oldbaileyonline.org/"">Proceedings of the Old Bailey</a>; the Old Bailey was London’s central criminal court between 1674 and 1913. The corpus consists of texts from 1970 to 1913, and is annotated for detailed utterance-level sociolinguistic annotation at the following three levels: sociobiographical speaker information (gender, age, occupation, social class), pragmatic information (speaker role in the courtroom such as judge, witness, etc.), and metatextual information (the scribe, printer, and publisher of the individual Proceeding).#SEPThe corpus is available for download from CLARIN-D (Saarland University) and for online browsing through CQPWeb.";"Browse#SEPDownload";"http://corpora.clarin-d.uni-saarland.de/cqpweb#SEPhttp://fedora.clarin-d.uni-saarland.de/oldbailey/downloads.html";;;
"Corpus of Estonian law texts";"http://hdl.handle.net/11297/1-00-0000-0000-0000-0002-2";"11 million tokens";;"CLARIN PUB";"Estonian";"This corpus contains Estonian laws (1.8 million tokens) as well as European legislation (9.6 million tokens) translated into Estonian.#SEPThe corpus is available for download from a dedicated webpage hosted by CLARIN Estonia.";"Download";"http://www.cl.ut.ee/korpused/segakorpus/seadused/";;;
