Corpus,Corpus_URL,Size,Linguistic information,Licence,Language,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
A machine-readable dictionary of Egyptian Arabic,http://hdl.handle.net/11022/0000-0007-C266-B,"2,418 entries","basic morphological information, usage examples",CC-BY-NC-SA 3.0,Arabic (Egyptian),"This lexicon presents a more comprehensive version of <a href=""http://hdl.handle.net/11022/0000-0000-001D-0"">A machine-readable glossary of Egyptian Arabic</a>. The resource is available for download from ARCHE.",Download,http://hdl.handle.net/11022/0000-0007-C266-B,,,
A machine-readable glossary of Egyptian Arabic,http://hdl.handle.net/11022/0000-0000-001D-0,"2,204 entries","basic morphological information, usage examples",CC-BY-NC-SA 3.0,Arabic (Egyptian),"This lexicon has been compiled for comparative as well as didactic purposes in the on-going <a href=""https://vicav.acdh.oeaw.ac.at/"">VICAV</a> project. The resource is available for download from ARCHE.",Download,http://hdl.handle.net/11022/0000-0000-001D-0,,,
Automatically constructed multiword lexicon hrMWELex v0.5,http://hdl.handle.net/11356/1177,"43,730 entries",multi-word expressions,CC-BY 4.0,Croatian,This is a lexicon of multiword expressions available for download from CLARIN.SI.,Download,http://hdl.handle.net/11356/1177,Ljubešić et al. (2015),https://www.clarin.eu/resource-families/lexical-resources-lexica#Ljube%C5%A1i%C4%87%202015,
Word embeddings CLARIN.SI-embed.hr 1.0,http://hdl.handle.net/11356/1205,"3,147,352 entries","PoS-tags, lemmas",CC-BY 4.0,Croatian,"This lexicon contains word embeddings extracted from the Croatian web corpus <a href=""http://hdl.handle.net/11356/1064"">hrWaC</a> and a 400-million-token-heavy collection of newspaper texts. The resource is available for download from CLARIN.SI.",Download,http://hdl.handle.net/11356/1205,,,
DeriNet 1.6,http://hdl.handle.net/11234/1-2873,"1,027,832 entries",,CC-BY-NC-SA 3.0,Czech,This is a lexicon of derivational relations (both compounding and inflections). The resource is available for download and online browsing through LINDAT.,Browse#SEPDownload,http://ufal.mff.cuni.cz/derinet/search#SEPhttp://hdl.handle.net/11234/1-2873,,,
MorfFlex CZ,http://hdl.handle.net/11234/1-1673,"124,259,099 lexical types","MSD-tags, derivational, semantic, NER information",CC-BY-NC-SA 3.0,Czech,This is a morphological lexicon available for download from LINDAT.,Download,http://hdl.handle.net/11234/1-1673,,,
ParaDi 2.0,http://hdl.handle.net/11234/1-2605,"1,621 entries","MSD-tags, syntactic/semantic features",CC-BY 4.0,Czech,This is a lexicon of single-word paraphrases of Czech verbal multiword expressions. The resource is available for download from LINDAT.,Download,http://hdl.handle.net/11234/1-2605,,,
PDT-Vallex,http://hdl.handle.net/11858/00-097C-0000-0023-4338-F,"7,121 entries, 11,933 frames","verb, adjective and noun valency",CC-BY-NC-SA 4.0,Czech,"This is a valency lexicon linked to several Czech corpora (PDT, PCEDT Cz side, PDTSC, Faust). The resource is available for download and online browsing through LINDAT.",Browse#SEPDownload,http://lindat.mff.cuni.cz/services/PDT-Vallex/#SEPhttp://hdl.handle.net/11858/00-097C-0000-0023-4338-F,Urešová (2011),https://www.clarin.eu/resource-families/lexical-resources-lexica#Ure%C5%A1ov%C3%A1%202011,
VALLEX 3.0,http://hdl.handle.net/11234/1-2307,"2,722 entries, 6,711 units, 6,711 frames, 4,586 words",verb senses (characterized by glosses and examples),CC-BY-NC-SA 4.0,Czech,This is a valency lexicon available for download and online browsing through LINDAT.,Browse#SEPDownload,http://ufal.mff.cuni.cz/vallex/3.0/#SEPhttp://hdl.handle.net/11234/1-2307,Lopatková et al. (2017),https://www.clarin.eu/resource-families/lexical-resources-lexica#Lopatkov%C3%A1%20et%20al.%202017,
STO morphology (v2) - LMF format,http://hdl.handle.net/20.500.12115/22,"87,209 entries",,CC BY-SA 4.0,Danish,"This morphological lexicon is available for download from the CLARIN-DK repository. It is also available in the .<a href=""http://hdl.handle.net/20.500.12115/21"">csv</a>format.",Download,http://hdl.handle.net/20.500.12115/22,,,
STO syntax (v2) - LMF format,http://hdl.handle.net/20.500.12115/23,"84,159 entries",,CC BY-SA 4.0,Danish,This syntactic lexicon is available for download from the CLARIN-DK repository.,Download,http://hdl.handle.net/20.500.12115/23,,,
Basilex Lexicon,https://ivdnt.org/downloads/taalmaterialen/tstc-basilex-lexicon,,,,Dutch,"This is a lexicon that comprises all lemmas from the <a href=""https://ivdnt.org/downloads/tstc-basilex-corpus"">Basilex Corpus</a>. The Basilex Corpus is an annotated collection of texts written for children in elementary school. The resource is available for download from the Dutch Language Institute (INT).",Download,http://ivdnt.org/downloads/taalmaterialen/tstc-basilex-lexicon,,,
Basiscript Lexicon,https://ivdnt.org/downloads/taalmaterialen/tstc-basiscript-lexicon,,,other,Dutch,"This is a lexicon that comprises all lemmas from the <a href=""https://ivdnt.org/downloads/tstc-basiscript-corpus"">Basiscript Corpus</a>. The Basiscript Corpus is an annotated collection of texts written by children in elementary school. The resource is available for download from the Dutch Language Institute (INT).",Download,http://ivdnt.org/downloads/taalmaterialen/tstc-basiscript-lexicon,,,
CombiLex,https://ivdnt.org/downloads/taalmaterialen/tstc-combilex,"213,000 lemmas",lemmas and word forms,other,Dutch,This is a lexicon of words and word forms available for download from the Dutch Language Institute (INT).,Download,http://ivdnt.org/downloads/taalmaterialen/tstc-combilex,,,
Dutch Electronic Lexicon of Multiword Expressions,http://duelme.clarin.inl.nl/,"5,000 expressions",,other,Dutch,This is a lexicon of multiword expressions available for download from the Dutch Language Institute (INT).,Download,http://duelme.clarin.inl.nl/,,,
PAROLE Lexicon,https://ivdnt.org/downloads/taalmaterialen/tstc-parole-lexicon,"20,000 entries",MSD-tags and syntactic complementation patterns,other,Dutch,This morphosyntactic lexicon is available for download from the Dutch Language Institute (INT).,Download,http://ivdnt.org/downloads/taalmaterialen/tstc-parole-lexicon,,,
Reference Lexicon for Belgian-Dutch (RBBN),https://ivdnt.org/downloads/taalmaterialen/tstc-referentiebestand-belgisch-nederlands,"4,000 words and expressions-",,other,Dutch,"This lexicon, which contains words and expressions typically of Dutch spoken in Belgium, is available for download from the Dutch Language Institute (INT).",Download,http://ivdnt.org/downloads/taalmaterialen/tstc-referentiebestand-belgisch-nederlands,,,
Reference Lexicon for Dutch,https://ivdnt.org/downloads/taalmaterialen/tstc-referentiebestand-nederlands,"50,000 lemmas",dialectical information,other,Dutch,This is a corpus-based monolingual lexicon available for download the Dutch Language Institute (INT).,Download,http://ivdnt.org/downloads/taalmaterialen/tstc-referentiebestand-nederlands,,,
BioLexicon,https://portulanclarin.net/repository/browse/biolexicon/389ebe92d63711e1a404080027e73ea2a4b6c6e4ac464aa8976d233a6f26790b/,over 2.2 million entries (over 3.3 million semantic relations),,ELRA END USER,English,"This is a large-scale, wide-coverage computational lexicon covering the biomedical domain. The resource is unavailable for download or online browsing, but can be accessed by contacting the resource manager.",,,,,
EngVallex,http://hdl.handle.net/11858/00-097C-0000-0023-4337-2,"4,337 entries, 7,148 frames",verb valency,CC-BY-NC-SA 4.0,English,This is a valency lexicon linked to the English side of the PCEDT corpus (WSJ corpus). The resource is available for download from LINDAT and for online browsing.,Browse#SEPDownload,http://lindat.mff.cuni.cz/services/EngVallex/#SEPhttp://hdl.handle.net/11858/00-097C-0000-0023-4337-2,,,
The Database of Estonian Multi-Word Expressions,http://doi.org/10.15155/1-00-0000-0000-0000-00083L,"12,500 words",,proprietary,Estonian,"This is a collection of lexica that contain multi-word expressions consisting of a verb and a particle or a verb and its complements. The resource is available for download from <a href=""https://www.clarin.eu/glossary#META-SHARE"" title=""Network of repositories resulting from the META-NET Network of Excellence (http://www.meta-share.eu/) "" class=""lexicon-term"">META-SHARE</a> (CELR distribution) and for online browsing through a dedicated website.",Browse#SEPDownload,http://www.cl.ut.ee/ressursid/pysiyhendid/index.php?lang=en#SEPhttp://doi.org/10.15155/1-00-0000-0000-0000-00083L,,,
