"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"Open Ancient Greek WordNet 0.5";"http://hdl.handle.net/20.500.11752/ILC-56";"7,447 synsets";"";"CC-BY-SA 4.0";"Ancient Greek";"This is a wordnet that is available for download through ILC4CLARIN.";"Conceptual resources";"Download";"http://hdl.handle.net/20.500.11752/ILC-56";"";"";""
"Ontology for the area of Nanoscience and Nanotechnology";"http://doi.org/21.11115/0000-000B-D318-C";"511 entries";"semantic relations";"MS NC-NoReD-ND";"Brazilian Portuguese";"This is an ontology of concepts related to nanoscience and nanotechnology available for download from CLARIN PORTULAN.";"Conceptual resources";"Download";"http://doi.org/21.11115/0000-000B-D318-C";"";"";""
"DanNet, Danish Wordnet (v 2.2)";"http://hdl.handle.net/20.500.12115/25";"65,000 entries";"hypernymy, hyperonymy";"DanNet 1.0 Licence";"Danish";"This wordnet is available for download from the CLARIN-DK repository. The resource is available in the <a href=""http://hdl.handle.net/20.500.12115/24"">.csv</a> and <a href=""http://hdl.handle.net/20.500.12115/25"">.owl</a> formats.";"Conceptual resources";"Download";"http://hdl.handle.net/20.500.12115/25";"Pedersen et al. (2009)";"https://www.clarin.eu/resource-families/lexical-resources-conceptual-resources#Pedersen%20et%20al.%202009";""
"STO semantics (The Danish SIMPLE Lexicon) - LMF format";"http://hdl.handle.net/20.500.12115/26";"12,609 entries";"";"CC-BY 4.0";"Danish";"This resource presents a unified, ontology-based semantic model – the so-called SIMPLE model – representing an extended Qualia Structure from the Danish SIMPLE Lexicon. The resource is available for download from CLARIN-DK.";"Conceptual resources";"Download";"http://hdl.handle.net/20.500.12115/26";"";"";""
"Cornetto-LMF";"http://cornetto.clarin.inl.nl/index.html";"130,000 entries";"semantic relationships and combinatorial information";"other";"Dutch";"This is a resource that combines two resources with different semantic organisations: the Dutch Wordnet with its synset organisation and the Dutch Reference Lexicon which includes definitions, usage constraints, selectional restrictions, syntactic behaviours, illustrative contexts, etc. The resource is available for online browsing through a dedicated webpage.";"Conceptual resources";"Browse";"http://cornetto.clarin.inl.nl/index.html";"";"";""
"Estonian Wordnet 2.1";"http://doi.org/10.15155/1-00-0000-0000-0000-0013AL";"115,318 keywords, 84,150 synets";"PoS-tags, synonymy, antonymy, hypernymy, hyponymy, meronymy";"CC-BY-SA";"Estonian";"This is a wordnet that is available for download from META-SHARE (CELR distribution).";"Conceptual resources";"Download";"http://doi.org/10.15155/1-00-0000-0000-0000-0013AL";"";"";""
"Finnish FrameNet";"http://urn.fi/urn:nbn:fi:lb-2019040201";"866 frames";"";"CC-BY 4.0";"Finnish";"This is a wordnet that is available for online browsing through FIN-CLARIN.";"Conceptual resources";"Browse";"https://sanat.csc.fi/wiki/FinnFrameNet";"Lindén et al. (2017)";"https://www.clarin.eu/resource-families/lexical-resources-conceptual-resources#Lind%C3%A9n%20et%20al.%202017";""
"GermaNet";"http://www.sfs.uni-tuebingen.de/GermaNet/";"61,659 synsets";"MSD-tags, lexical relations (hypernymy, hyponymy)";"CLARIN ACA";"German";"This wordnet is available for download from a dedicated webpage hosted by Uni Tübingen/CLARIN-D.";"Conceptual resources";"Download";"http://www.sfs.uni-tuebingen.de/GermaNet/germanet_structure.shtml";"Henrich et al. (2011)";"https://www.clarin.eu/resource-families/lexical-resources-conceptual-resources#Henrich%20et%20al.%202011";""
"Polytropon EL Conceptual Lexicon";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-2862-5";"4,000 Multi Word units; 15,000 tokens ";"lemmas, MSD-tags, Lexical relations";"under negotiation";"Greek";"This is a lexicon of lexical-semantic relations (e.g. synonymy, antonymy); lexical relations (e.g. word families, allomorphs, syntactic variants); morphosyntactic features (PoS, gender, declension, etc.), which is not yet available for download.";"Conceptual resources";"";"";"";"";""
"The Icelandic Wordweb";"http://hdl.handle.net/20.500.12537/117";"";"lemmas, concept-based relations";"CC BY 4.0";"Icelandic";"This is a database of words, categorizations and word relations. The new version consists of a single, large RDF file that houses the Wordweb’s content and is encoded with a standardized vocabulary.#SEPThe Wordweb is available for download through the CLARIN.IS repository and is available for online browsing through a dedicated webpage.";"Conceptual resources";"Browse#SEPDownload";"https://ordanet.is/#SEPhttp://hdl.handle.net/20.500.12537/117";"Jónsson and Úlfarsdóttir (2011)";"https://www.clarin.eu/resource-families/lexical-resources-conceptual-resources#jonsonandulfarsdottir2011";""
