"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"A machine-readable dictionary of Egyptian Arabic";"http://hdl.handle.net/11022/0000-0007-C266-B";"2,418 entries";"basic morphological information, usage examples";"CC-BY-NC-SA 3.0";"Arabic (Egyptian)";"This lexicon presents a more comprehensive version of <a href=""http://hdl.handle.net/11022/0000-0000-001D-0"">A machine-readable glossary of Egyptian Arabic</a>. The resource is available for download from ARCHE.";"Lexica";"Download";"http://hdl.handle.net/11022/0000-0007-C266-B";"";"";""
"A machine-readable glossary of Egyptian Arabic";"http://hdl.handle.net/11022/0000-0000-001D-0";"2,204 entries";"basic morphological information, usage examples";"CC-BY-NC-SA 3.0";"Arabic (Egyptian)";"This lexicon has been compiled for comparative as well as didactic purposes in the on-going <a href=""https://vicav.acdh.oeaw.ac.at/"">VICAV</a> project. The resource is available for download from ARCHE.";"Lexica";"Download";"http://hdl.handle.net/11022/0000-0000-001D-0";"";"";""
"Automatically constructed multiword lexicon hrMWELex v0.5";"http://hdl.handle.net/11356/1177";"43,730 entries";"multi-word expressions";"CC-BY 4.0";"Croatian";"This is a lexicon of multiword expressions available for download from CLARIN.SI.";"Lexica";"Download";"http://hdl.handle.net/11356/1177";"Ljubešić et al. (2015)";"https://www.clarin.eu/resource-families/lexical-resources-lexica#Ljube%C5%A1i%C4%87%202015";""
"Inflectional lexicon hrLex 1.3";"http://hdl.handle.net/11356/1232";"6,427,709 items, 164,206 entries";"wordform, lemma, MSD, UPOS";"CC-BY 4.0";"Croatian";"This is a large inflectional lexicon where each entry consists of a (wordform, lemma, MSD, MSD features, UPOS, morphological features, frequency, per-million frequency) 8-tuple. The (wordform, lemma, MSD) triple frequencies are calculated on the <a href=""http://hdl.handle.net/11356/1064"">hrWaC v2.2</a> corpus. The MSD tagset follows the <a href=""http://nl.ijs.si/ME/V6/msd/html/msd-hbs.html"">MULTEXT-East V6 tagset</a> for the Serbo-Croatian macro-language. The UPOS and morphological features follow the <a href=""http://universaldependencies.org/guidelines.html"">UD v2 specifications</a>.#SEPThe resource is available for download from CLARIN.SI";"Lexica";"Download";"http://hdl.handle.net/11356/1232";"Ljubešić et al. (2016)";"https://www.clarin.eu/resource-families/lexical-resources-lexica#Ljube%C5%A1i%C4%87%20et%20al.%202016";""
"Word embeddings CLARIN.SI-embed.hr 1.0";"http://hdl.handle.net/11356/1205";"3,147,352 entries";"PoS-tags, lemmas";"CC-BY 4.0";"Croatian";"This lexicon contains word embeddings extracted from the Croatian web corpus <a href=""http://hdl.handle.net/11356/1064"">hrWaC</a> and a 400-million-token-heavy collection of newspaper texts. The resource is available for download from CLARIN.SI.";"Lexica";"Download";"http://hdl.handle.net/11356/1205";"";"";""
"DeriNet 1.6";"http://hdl.handle.net/11234/1-2873";"1,027,832 entries";"";"CC-BY-NC-SA 3.0";"Czech";"This is a lexicon of derivational relations (both compounding and inflections). The resource is available for download and online browsing through LINDAT.";"Lexica";"Browse#SEPDownload";"http://ufal.mff.cuni.cz/derinet/search#SEPhttp://hdl.handle.net/11234/1-2873";"";"";""
"MorfFlex CZ";"http://hdl.handle.net/11234/1-1673";"124,259,099 lexical types";"MSD-tags, derivational, semantic, NER information";"CC-BY-NC-SA 3.0";"Czech";"This is a morphological lexicon available for download from LINDAT.";"Lexica";"Download";"http://hdl.handle.net/11234/1-1673";"";"";""
"ParaDi 2.0";"http://hdl.handle.net/11234/1-2605";"1,621 entries";"MSD-tags, syntactic/semantic features";"CC-BY 4.0";"Czech";"This is a lexicon of single-word paraphrases of Czech verbal multiword expressions. The resource is available for download from LINDAT.";"Lexica";"Download";"http://hdl.handle.net/11234/1-2605";"";"";""
"PDT-Vallex";"http://hdl.handle.net/11858/00-097C-0000-0023-4338-F";"7,121 entries, 11,933 frames";"verb, adjective and noun valency";"CC-BY-NC-SA 4.0";"Czech";"This is a valency lexicon linked to several Czech corpora (PDT, PCEDT Cz side, PDTSC, Faust). The resource is available for download and online browsing through LINDAT.";"Lexica";"Browse#SEPDownload";"http://lindat.mff.cuni.cz/services/PDT-Vallex/#SEPhttp://hdl.handle.net/11858/00-097C-0000-0023-4338-F";"Urešová (2011)";"https://www.clarin.eu/resource-families/lexical-resources-lexica#Ure%C5%A1ov%C3%A1%202011";""
"VALLEX 3.0";"http://hdl.handle.net/11234/1-2307";"2,722 entries, 6,711 units, 6,711 frames, 4,586 words";"verb senses (characterized by glosses and examples)";"CC-BY-NC-SA 4.0";"Czech";"This is a valency lexicon available for download and online browsing through LINDAT.";"Lexica";"Browse#SEPDownload";"http://ufal.mff.cuni.cz/vallex/3.0/#SEPhttp://hdl.handle.net/11234/1-2307";"Lopatková et al. (2017)";"https://www.clarin.eu/resource-families/lexical-resources-lexica#Lopatkov%C3%A1%20et%20al.%202017";""
"STO morphology (v2) - LMF format";"http://hdl.handle.net/20.500.12115/22";"87,209 entries";"";"CC BY-SA 4.0";"Danish";"This morphological lexicon is available for download from the CLARIN-DK repository. It is also available in the .<a href=""http://hdl.handle.net/20.500.12115/21"">csv</a>format.";"Lexica";"Download";"http://hdl.handle.net/20.500.12115/22";"";"";""
"STO syntax (v2) - LMF format";"http://hdl.handle.net/20.500.12115/23";"84,159 entries";"";"CC BY-SA 4.0";"Danish";"This syntactic lexicon is available for download from the CLARIN-DK repository.";"Lexica";"Download";"http://hdl.handle.net/20.500.12115/23";"";"";""
"Basilex Lexicon";"http://hdl.handle.net/10032/tm-a2-k7";"";"";"";"Dutch";"This is a lexicon that comprises all lemmas from the <a href=""http://hdl.handle.net/10032/tm-a2-k7"">Basilex Corpus</a>. The Basilex Corpus is an annotated collection of texts written for children in elementary school. The resource is available for download from the Dutch Language Institute (INT).";"Lexica";"Download";"http://hdl.handle.net/10032/tm-a2-k7";"";"";""
"Basiscript Lexicon";"http://hdl.handle.net/10032/tm-a2-p2";"";"";"other";"Dutch";"This is a lexicon that comprises all lemmas from the <a href=""http://hdl.handle.net/10032/tm-a2-p2"">Basiscript Corpus</a>. The Basiscript Corpus is an annotated collection of texts written by children in elementary school. The resource is available for download from the Dutch Language Institute (INT).";"Lexica";"Download";"http://hdl.handle.net/10032/tm-a2-p2";"";"";""
"CombiLex";"http://hdl.handle.net/10032/tm-a2-h2";"213,000 lemmas";"lemmas and word forms";"other";"Dutch";"This is a lexicon of words and word forms available for download from the Dutch Language Institute (INT).";"Lexica";"Download";"http://ivdnt.org/downloads/taalmaterialen/tstc-combilex";"";"";""
"e-Lex";"http://hdl.handle.net/10032/tm-a2-h2";"220,000 entries, 600,000 word forms, 77,000 multi-word expressions, 26,000 multi-word lemmas";"MSD-tags, syntactical and phonological information, partially semantically annotated";"other";"Dutch";"This is a lexical database that consists of a one-word lexicon and a multi-word lexicon.#SEPThis lexicon is available for download from the Dutch Language Institute (INT).";"Lexica";"Download";"http://hdl.handle.net/10032/tm-a2-h2";"";"";""
"Dutch Electronic Lexicon of Multiword Expressions";"http://hdl.handle.net/10032/tm-a2-j9";"5,000 expressions";"";"other";"Dutch";"This is a lexicon of multiword expressions available for download from the Dutch Language Institute (INT).";"Lexica";"Download";"http://hdl.handle.net/10032/tm-a2-j9";"";"";""
"PAROLE Lexicon";"http://hdl.handle.net/10032/tm-a2-m4";"20,000 entries";"MSD-tags and syntactic complementation patterns";"other";"Dutch";"This morphosyntactic lexicon is available for download from the Dutch Language Institute (INT).";"Lexica";"Download";"http://hdl.handle.net/10032/tm-a2-m4";"";"";""
"Reference Lexicon for Belgian-Dutch (RBBN)";"http://hdl.handle.net/10032/tm-a2-h4";"4,000 words and expressions-";"";"other";"Dutch";"This lexicon, which contains words and expressions typically of Dutch spoken in Belgium, is available for download from the Dutch Language Institute (INT).";"Lexica";"Download";"http://hdl.handle.net/10032/tm-a2-h4";"";"";""
"Reference Lexicon for Dutch";"http://hdl.handle.net/10032/tm-a2-n2";"50,000 lemmas";"dialectical information";"other";"Dutch";"This is a corpus-based monolingual lexicon available for download the Dutch Language Institute (INT).";"Lexica";"Download";"http://hdl.handle.net/10032/tm-a2-n2";"";"";""
"BioLexicon";"https://hdl.handle.net/21.11129/0000-000B-D30B-B";"over 2.2 million entries (over 3.3 million semantic relations)";"";"ELRA END USER";"English";"This is a large-scale, wide-coverage computational lexicon covering the biomedical domain. The resource is unavailable for download or online browsing, but can be accessed by contacting the resource manager.";"Lexica";"";"";"";"";""
"EngVallex";"http://hdl.handle.net/11858/00-097C-0000-0023-4337-2";"4,337 entries, 7,148 frames";"verb valency";"CC-BY-NC-SA 4.0";"English";"This is a valency lexicon linked to the English side of the PCEDT corpus (WSJ corpus). The resource is available for download from LINDAT and for online browsing.";"Lexica";"Browse#SEPDownload";"http://lindat.mff.cuni.cz/services/EngVallex/#SEPhttp://hdl.handle.net/11858/00-097C-0000-0023-4337-2";"";"";""
"The Database of Estonian Multi-Word Expressions";"http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00083L";"12,500 words";"";"proprietary";"Estonian";"This is a collection of lexica that contain multi-word expressions consisting of a verb and a particle or a verb and its complements. The resource is available for download from <a href=""https://www.clarin.eu/glossary#META-SHARE"" title=""Network of repositories resulting from the META-NET Network of Excellence (http://www.meta-share.eu/)"" class=""lexicon-term"">META-SHARE</a> (CELR distribution) and for online browsing through a dedicated website.";"Lexica";"Browse#SEPDownload";"http://www.cl.ut.ee/ressursid/pysiyhendid/index.php?lang=en#SEPhttp://hdl.handle.net/10.15155/1-00-0000-0000-0000-00083L";"";"";""
"Démonette";"https://hdl.handle.net/11403/demonette/v2";"96,027 entries";"MSD-tags (grace format), semantic types";"CC-BY 4.0";"French";"This is a morphological lexicon available for download from ORTOLANG.";"Lexica";"Download";"http://hdl.handle.net/11403/demonette/v2";"";"";""
"Dicovalence";"https://hdl.handle.net/11403/dicovalence/v1";"8,000 entries";"c- and s-selectional restrictions";"Licence Publique Générale Amoindrie GNU";"French";"This is a verb-valency lexicon.#SEPThe lexicon specifies certain selectional restrictions, possible term manifestations (pronominal, phrasal), and whether the valency frames can be used in various passive constructions, as well as references to other valency frames for the same infinitive. The resource is available for download from ORTOLANG.";"Lexica";"Download";"http://hdl.handle.net/11403/dicovalence/v1";"";"";""
"MarsaLex";"https://hdl.handle.net/11403/sldr000850/v1";"595,000,000 inflected forms";"";"CC-BY 4.0";"French";"This is a morphological lexicon available for download from ORTOLANG.";"Lexica";"Download";"http://hdl.handle.net/11403/sldr000850/v1";"";"";""
"Morphalou";"https://hdl.handle.net/11403/morphalou/v3.1";"159,261 entries";"spelling, phonetics, mood, tense, MSD-tags, spelling variant, feminine variation, pronominal";"Publique Générale Amoindrie GNU";"French";"This is a morphological lexicon available for download from ORTOLANG.";"Lexica";"Download";"http://hdl.handle.net/11403/morphalou/v3.1";"";"";""
"VfrLPL";"https://hdl.handle.net/11403/sldr000533/v2";"8,800 entries";"conjugation forms, phonetic forms, use frequencies";"restricted";"French";"This is a morphosyntactic lexicon available for download from ORTOLANG.";"Lexica";"Download";"http://hdl.handle.net/11403/sldr000533/v2";"";"";""
"ILSP PsychoLinguistic Resource";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-23EC-F";"217,664 entries";"phonetic transcription, frequency of usage";"CC-BY-NC-SA";"Greek";"This is a lexicon for psycholinguistic research. The resource is available for download from clarin:el.";"Lexica";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-23EC-F";"Protopapas et al. (2010)";"https://www.clarin.eu/resource-families/lexical-resources-lexica#Protopapas%20et%20al.%202010";""
"Database of Modern Icelandic Inflections";"http://hdl.handle.net/20.500.12537/162";"305,000 lemmas; 6.5 million inflectional forms; 48,000 non-standard word forms";"MSD-tags";"CC BY-SA 4.0";"Icelandic";"This is a morphological lexicon created for use in language technology (LT), as a reference for the general public in Iceland, and for use in research on the Icelandic language. The term Modern Icelandic here refers to contemporary Icelandic, i.e. late 20th and 21st century usage. #SEPThe lexicon is available for download and online browsing through CLARIN-IS.";"Lexica";"Browse#SEPDownload";"http://bin.arnastofnun.is/DMII/#SEPhttp://hdl.handle.net/20.500.12537/162";"Bjarnadóttir (2012)";"https://www.clarin.eu/resource-families/lexical-resources-lexica#Bjarnad%C3%B3ttir%202012";""
"Italian Content Words v3";"http://hdl.handle.net/11372/LRT-2894";"2,342,120 items";"";"CC-BY-NC-SA 4.0";"Italian";"This is a morphological lexicon. The resource is available for download from LINDAT.";"Lexica";"Download";"http://hdl.handle.net/11372/LRT-2894";"";"";""
"Italian Function Words v3";"http://hdl.handle.net/11372/LRT-2893";"3,510 entries";"";"CC-BY-NC-SA 4.0";"Italian";"This is a morphological lexicon. The resource is available for download from LINDAT.";"Lexica";"Download";"http://hdl.handle.net/11372/LRT-2893";"";"";""
"OpeNER Sentiment Lexicon Italian - LMF";"http://hdl.handle.net/20.500.11752/ILC-73";"24,293 entries";"positive/negative/neutral polarity";"CC-BY 4.0";"Italian";"This is a sentiment lexicon available for download from ILC4CLARIN.";"Lexica";"Download";"http://hdl.handle.net/20.500.11752/ILC-73";"";"";""
"PAROLE-SIMPLE-CLIPS";"http://hdl.handle.net/20.500.11752/ILC-88";"37,406 syntactic units";"";"CC-BY-SA 4.0";"Italian";"This is a morphological lexicon available for download from LC4CLARIN.";"Lexica";"Download";"http://hdl.handle.net/20.500.11752/ILC-88";"";"";""
"Maltese Speech Engine Lexicon";"http://www.hdl.handle.net/21.11115/0000-000B-D349-5";"39,242 entries";"PoS-tags, orthographic transcription, phonetic forms, syllables, stress position";"MS-BY-NC-SA";"Maltese";"This is a speech lexicon that is useful for building speech-to-text systems. It is available for download from CLARIN PORTULAN.";"Lexica";"Download";"http://www.hdl.handle.net/21.11115/0000-000B-D349-5";"";"";""
"Emotional Annotations Dictionary";"http://hdl.handle.net/11321/553";"178,514 elements";"";"CC-BY 4.0";"Polish";"This is a lexicon with emotional annotation extracted from Polish Wordnet. The resource is available for download from the CLARIN-PL repository.";"Lexica";"Download";"http://hdl.handle.net/11321/553";"";"";""
"Extended dictionary of named entities NELexicon connected with Linked Open Data";"http://hdl.handle.net/11321/529";"103,585 entries";"";"GNU LGPL 3.0";"Polish";"This lexicon contains Polish named entities connected with terminology from available resources within Linked Open Data (e.g. WordNet, DBPedia, Wikipedia, etc.). The resource is available for download from the CLARIN-PL repository.";"Lexica";"Download";"http://hdl.handle.net/11321/529";"";"";""
"MWELexicon 1.1";"http://hdl.handle.net/11321/508";"56,500 lexical units";"syntactic behaviour";"plWordNet";"Polish";"This is a lexicon of multiword expressions available for download from CLARIN.PL.";"Lexica";"Download";"http://hdl.handle.net/11321/508";"";"";""
"Walenty (2018-06-29)";"http://hdl.handle.net/11321/586";"18,236 entries";"";"CC BY SA 4.0";"Polish";"This is a lexicon of verb valency that is available for download from the CLARIN-PL repository.";"Lexica";"Download";"http://hdl.handle.net/11321/586";"";"";""
"LEX-MWE-PT: Word Combination in Portuguese Language";"http://hdl.handle.net/21.11115/0000-000B-D4FA-C";"1,198 entries, 12,753 multi word unit ";"lemmas";"MS NC-NoReD-ND";"Portuguese";"This is a lexicon of multiword expressions. The resource is available for download from CLARIN PORTULAN.";"Lexica";"Download";"http://hdl.handle.net/21.11115/0000-000B-D4FA-C";"";"";""
