Corpus,Corpus_URL,Size,Annotation,Licence,Language,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
Croatian Twitter training corpus ReLDI-NormTagNER-hr 2.0 ,http://hdl.handle.net/11356/1170,"89,000 tokens",word normalisation,CC BY 4.0,Croatian,"This corpus contains Tweets. The corpus is morphosyntactically tagged following the <a href=""http://nl.ijs.si/ME/V4/msd/html/index.html"">MULTEXT-East Version 4 tagset</a>.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.",KonText#SEPnoSketch#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=reldi_hr#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=reldi_hr&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1043,Miličević and Ljubešić (2016),https://www.clarin.eu/resource-families/manually-annotated-corpora#milicevic,
Czech Legal Text Treebank 2.0,http://hdl.handle.net/11234/1-2498,1121 sentences,semantic role labelling,CC BY-NC-SA 4.0,Czech,"This corpus contains legal texts.#SEPThe corpus is available through the concordance KonText, the PML-TQ tool and for download from the LINDAT repository.",KonText#SEPPML-TQ#SEPDownload,https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=legaltext_cs_a#SEPhttps://lindat.mff.cuni.cz/services/pmltq/#!/treebank/cltt20/query/#SEPhttp://hdl.handle.net/11234/1-2498,,,
Prague Discourse Treebank 2.0,http://hdl.handle.net/11234/1-1905,"49,500 sentences",mark-up of discourse phenomena enriched by the annotation of secondary connectives,CC-BY,Czech,"This corpus is a subset of the <a href=""http://hdl.handle.net/11234/1-2621"">Prague Dependency Treebank 3.5</a>.#SEPThe corpus is available through the PML-TQ tool.",PML-TQ,https://lindat.mff.cuni.cz/services/pmltq/#!/treebank/pdit20/query/,,,
Prague Czech-English Dependency Treebank 2.0 Coref,http://hdl.handle.net/11234/1-1664,"49,000 sentences",mark-up of coreference,CC-BY-NC-SA + LDC99T42 (restricted use),"Czech, English","This corpus is an extended version of <a href=""http://hdl.handle.net/11858/00-097C-0000-0015-8DAF-4"">Prague Czech-English Dependency Treebank 2.0</a>, with added mark-up of coreference. The syntactic parsing follows the <a href=""https://ufal.mff.cuni.cz/pdt2.0/"">PDT 2.0 style</a>D#SEPThe corpus is available for download from the LINDAT repository. The version without coreference annotation is available through the concordancer KonText and the PML-TQ tool.T 2.0 style.",KonText#SEPPML-TQ#SEPDownload,https://lindat.mff.cuni.cz/idpdiscovery/discovery.html?entityID=https%3A%2F%2Fufal-point.mff.cuni.cz%2Fshibboleth%2Feduid%2Fsp&return=https%3A%2F%2Flindat.mff.cuni.cz%2FShibboleth.sso%2FLogin%3FSAMLDS%3D1%26target%3Dcookie%253A1548331392_7a32#SEPhttps://lindat.mff.cuni.cz/services/pmltq/#!/treebank/pcedt20_cz/query/#SEPhttp://hdl.handle.net/11234/1-1664,,,
Artificial Treebank with Ellipsis,http://hdl.handle.net/11234/1-2616,"106,000 tokens, 10,604 sentences",mark-up of elliptical constructions,Licence Universal dependencies v2.1,"Czech, English, Finnish, Russian, Slovak","The syntactic parsing follows the <a href=""http://universaldependencies.org/guidelines.html"">Universal Dependencies</a> schema.#SEPThe corpus is available for download from the LINDAT repository.",Download,http://hdl.handle.net/11234/1-2616,,,
Grundtvig's Works Corpus ,http://hdl.handle.net/20.500.12115/31,,"linked data (places, persons, bible citations, etc.)",CC BY-NC 4.0,Danish,This corpus contains the literary works of the Danish bishop N.F.S Grundtvig.#SEPThe corpus is available for download from the CLARIN-DK repository.,Download,http://hdl.handle.net/20.500.12115/31,,,
SoNaR-1,https://ivdnt.org/downloads/taalmaterialen/tstc-sonar-corpus,1 million words,semantic role labelling,,Dutch,This is a manually annotated subset of the much larger (approx.. 500 million) word) SoNaR corpus.#SEPThe corpus is available for download from the Dutch Language Institute.,Download,http://ivdnt.org/downloads/taalmaterialen/tstc-sonar-corpus,,,
The ACL RD-TEX 2.0,http://hdl.handle.net/11372/LRT-1661,33216 tokens,terminology extraction/classification,CC BY-NC-SA 4.0,English,This corpus contains 6818 terms extracted from abstracts of computational linguistics papers.#SEPThe corpus is available for download from LINDAT and through KonText.,KonText#SEPDownload,https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=aclrd20_en_a#SEPhttp://hdl.handle.net/11372/LRT-1661,QasemiZadeh and Schumann (2016),https://www.clarin.eu/resource-families/manually-annotated-corpora#QasemiZadeh%20and%20Schumann%202016,
"Speech, Thought and Writing Presentation Corpus",http://ota.ox.ac.uk/desc/2540,"260,000 words",identification of reported speech,CC BY-NC-SA 3.0,English,"This corpus contains literary, newspaper and biography texts.#SEPThe corpus is available for download from the Oxford Text Archive.",Download,http://ota.ox.ac.uk/desc/2540,,,
TimeML annotated corpus of Estonian newspaper articles,http://doi.org/10.15155/1-00-0000-0000-0000-0015CL,"22,000 words",temporal semantic annotations,CC-BY-SA,Estonian,This corpus contains newspaper articles.#SEPThe corpus is available for download from META-SHARE (CELR distribution).,Download,http://doi.org/10.15155/1-00-0000-0000-0000-0015CL,,,
