"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Language";"Description";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"ParCor - A Parallel Pronoun-Coreference Corpus";"http://opus.lingfil.uu.se/ParCor/";;"pronoun coreference";;"English-German";"This corpus contains TED talks and EU Bookshop publications.#SEPThe corpus is available for download from the OPUS webpage.";"Download";"http://opus.lingfil.uu.se/ParCor/";"Guillou et al. (2014).";"https://www.clarin.eu/resource-families/parallel-corpora#Guillou%20et%20al.%202014";
"Parallel English-Irish corpus of legal texts";"http://www.gaois.ie/crp/en/";;"sentence aligned ";;"English-Irish";"This corpus contains legal texts.#SEPThe corpus is available  through a dedicated concordancer.";"Concordancer";"http://www.gaois.ie/crp/en/";;;
"The NAACL 2003 English-Romanian corpus";"http://metashare.ilsp.gr:8080/repository/browse/the-naacl-2003-english-romanian-corpus/32d0c7f8dc7311e5aa0b00237df3e358c04f795d2d29477cbd7e46971ebdead6/";"1.6 million tokens";;"MS-BY-NC-ND";"English-Romanian";"The corpus contains texts from 2003.";;;;;"For access, contact the resource managers."
"The English-Swedish Parallel Corpus";"https://sprak.gu.se/english/research/research-activities/corpus-linguistics/corpora-at-the-dll/espc";"3.5 million tokens";"tokenised, paragraph aligned";;"English-Swedish";"This corpus contains fictional and non-fictional texts. It is bidirectional.";;;;;"For access, contact the resource managers."
"Estonian Open Parallel Corpus 2012. Estonian-English";"http://metashare.tilde.com/repository/browse/estonian-open-parallel-corpus-2012-estonian-english/1ebafd00a96111e5aa3b001dd8b71c66ec3a43cb0e0f4669b64f85347efd43a7/";"2.5 million tokens";"tokenised";"CC-BY";"Estonian-English";"This corpus contains Biblical and legal texts.#SEPThe corpus is available for download from <a href=""https://www.clarin.eu/glossary#META-SHARE"" title=""Network of repositories resulting from the META-NET Network of Excellence (http://www.meta-share.eu/)
"" class=""lexicon-term"">META-SHARE.</a>";"Download";"http://metashare.tilde.com/repository/download/1ebafd00a96111e5aa3b001dd8b71c66ec3a43cb0e0f4669b64f85347efd43a7/";;;
"SzegedParalell: angol-magyar párhuzamos korpusz";"http://rgai.inf.u-szeged.hu/index.php?lang=en&page=corpus_paralell";;;;"English-Hungarian";"This corpus contains literary texts and texts on the  European Union.#SEPThe corpus is available for download from a dedicated webpage.";"Download";"http://rgai.inf.u-szeged.hu/index.php?lang=en&page=corpus_paralell";"Tóth et al. (2002)";"https://www.clarin.eu/resource-families/parallel-corpora#T%C3%B3th%20et%20al.%202002";
"PaGeS";"https://www.corpuspages.eu/corpus2/search/search";"Main part: 38 million tokens; 1.1 million bisegments (alignments). Supplements: 80 million tokens";"sentence aligned, PoS-tagged, lemmatised";"<a href=""https://www.corpuspages.eu/corpus2/about/privacyterms?lang=en>Terms of Use</a>""";"German-Spanish";"This corpus is comprised of two major parts: the core corpus and the supplements.#SEPThe core corpus is comprised of original texts in German and Spanish and their respective translations, as well as a small percentage (approx. 6%) of German and Spanish texts translated from a third language. The core corpus includes samples from 178 works of fiction (novels and short stories) as well as samples from non-fiction (essays and popular texts).#SEPThe text have been manually verified at different levels and the automatic alignment of the bisegments, performed by <a href=""https://sourceforge.net/projects/aligner/"">LF-Aligner</a>, has been manually reviewed. The German texts have been lemmatized and PoS-tagged with <a href=""http://hdl.handle.net/11022/1007-0000-0000-8E4D-B"">Treetagger</a> (part of the <a href=""https://www.clarin.eu/resource-families/tools-part-speech-tagging-and-lemmatization"">PoS taggers and lemmatizers Resource Family</a>) and the Spanish texts with <a href=""https://nlp.lsi.upc.edu/freeling/node/1"">Freeling</a> . The tags of both have been mapped to the Universal PoS tags.#SEPThe supplements include so far: <a href=""https://www.statmt.org/europarl/"">Europarl v7</a>, a corpus that collects the proceedings (Verbatim reports) of the European Parliament from 1996 to 2011 (also part of the <a href=""https://www.clarin.eu/resource-families/parliamentary-corpora"">Parliamentary Corpora Resource Family</a>); and Ted-Talks (part of this family), a corpus that collects the German and Spanish translations of the transcriptions of Ted-Talks from 2006 to 2020.#SEPThe corpus is available for online browsing via a dedicated interface.";"Browse";"https://www.corpuspages.eu/corpus2/search/search";"Doval et al. (2018)";"https://www.clarin.eu/resource-families/parallel-corpora#dovaletal2018";
"The TRIS corpus";"http://clara.b.uib.no/fellows/carla-parra-escartin/tris/";"1.76 million tokens";"tokenised, sentence-aligned";;"German-Spanish";"This corpus contains texts from the European Commission from 1997 to 2010.#SEPThe corpus is available for download from a dedicated webpage.";"Download";"http://clara.b.uib.no/fellows/carla-parra-escartin/tris/";"Parra Escartín (2012).";"https://www.clarin.eu/resource-families/parallel-corpora#Parra%20Escart%C3%ADn%202012";
"LILA parallel corpus";"http://tekstynas.vdu.lt/page.xhtml?id=parallelLILA";"8 million tokens";"tokenised, sentence-aligned";;"Lithuanian-Latvian";"This corpus contains fictional and non-fictional texts from 1991 to 2012. It is bidirectional.#SEP The corpus is available through a dedicated concordancer.";"Concordancer";"http://www.korpuss.lv/lila/";"Utka et al. (2012).";"https://www.clarin.eu/resource-families/parallel-corpora#Utka%20et%20al.%202012";
"Manually aligned CES Polish-English parallel corpus";"http://metashare.ilsp.gr:8080/repository/browse/manually-aligned-ces-polish-english-parallel-corpus/314b93d26b0011e284b6000423bfd61c36a51e4b609742288e99ba691f07dfdb/";"1.4 million tokens";"tokenised, sentence-aligned";"CC-BY";"Polish-English";"This corpus contains CES reports.#SEPThe corpus is available for download from a dedicated webpage.";"Download";"http://metashare.ilsp.gr:8080/repository/browse/manually-aligned-ces-polish-english-parallel-corpus/314b93d26b0011e284b6000423bfd61c36a51e4b609742288e99ba691f07dfdb/";;;
