Corpus;Corpus_URL;Size;Annotation;Licence;Language;Description;Buttons;Buttons_URL;Publication;Publication_URL;Note
Arabic Speech Corpus;http://hdl.handle.net/20.500.12024/2561;;;CC BY 4.0;Arabic;This corpus is available for download from the Oxford Text Archive.;Download;http://hdl.handle.net/20.500.12024/2561;Halabi (2016);https://www.clarin.eu/resource-families/spoken-corpora#Halabi%202016;
DIALEKT v1: dialectal corpus with multi-tier transcription;https://wiki.korpus.cz/doku.php/en:cnk:dialekt;100,000 words;orthographically and phonetically (dialect features) transcribed, MSD-tagged, lemmatised;Academic Licence Agreement for Czech National Corpus Data;Czech;This corpus contains traditional dialectological material, mostly unprepared monologue-type speech.#SEPThe corpus is available download (upon request) and through the concordancer KonText.;Concordancer#SEPDownload;https://kontext.korpus.cz/first_form?corpname=dialekt_v1_dial#SEPhttp://wiki.korpus.cz/doku.php/en:cnk:dialekt;Komrsková et al. (2018);https://www.clarin.eu/resource-families/spoken-corpora#Komrskov%C3%A1%20et%20al.%202018;
ORAL2013: balanced corpus of informal spoken Czech (transcriptions & audio);http://hdl.handle.net/11234/1-1848;2.8 million words;recordings and transcripts anonymised;Academic Licence Agreement for Czech National Corpus Data;Czech;This corpus contains informal conversations.#SEPThe corpus is available for download from LINDAT and through the concordancer KonText.;Concordancer#SEPDownload;https://kontext.korpus.cz/first_form?corpname=oral2013#SEPhttp://hdl.handle.net/11234/1-1848;Benešová et al. (2015);https://www.clarin.eu/resource-families/spoken-corpora#Bene%C5%A1ov%C3%A1%20et%20al.%202015;
ORTOFON v1: balanced corpus of informal spoken Czech with multi-tier transcription (transcriptions & audio);http://hdl.handle.net/11234/1-2579;1 million words;"orthographically and phonetically transcribed; MSD-tagged, lemmatised";Academic Licence Agreement for Czech National Corpus Data;Czech;This corpus contains informal conversations.#SEPThe corpus is available for download from LINDAT and through the concordancer KonText.;Concordancer#SEPDownload;https://kontext.korpus.cz/first_form?corpname=ortofon_v1#SEPhttp://hdl.handle.net/11234/1-2579;Komrsková et al. (2018);https://www.clarin.eu/resource-families/spoken-corpora#Komrskov%C3%A1%20et%20al.%202018;
OVM – Otázky Václava Moravce;http://hdl.handle.net/11858/00-097C-0000-000D-EC98-3;35 hours;word-by-word transcriptions, including the transcription of some non-speech events;CC BY-NC 3.0;Czech;This corpus contains transcribed recordings from the Czech political discussion broadcast “Otázky Václava Moravce“.#SEPThe corpus is available for download from LINDAT and through the concordancer KonText.;Concordancer#SEPDownload;https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=ovm_cs_w#SEPhttp://hdl.handle.net/11858/00-097C-0000-000D-EC98-3;;;
Prague DaTabase of Spoken Czech 1.0;http://hdl.handle.net/11234/1-2375;770,000 tokens, 7324 minutes;MSD-tagged, lemmatised;CC BY-NC SA 4.0;Czech;This corpus contains spontaneous dialogue.#SEPThe corpus is available for download from LINDAT.;Download;http://hdl.handle.net/11234/1-2375;Hajič et al. (2008);https://www.clarin.eu/resource-families/spoken-corpora#Haji%C4%8D%20et%20al.%202008;
Spoken corpus of Karel Makoň;http://hdl.handle.net/11372/LRT-1455;1000 hours;;CC BY-SA 3.0;Czech;This corpus contains talks on Christian mysticism given by Karel Makoň.#SEPThe corpus is available for download from LINDAT.;Download;http://hdl.handle.net/11372/LRT-1455;;;
Czech Malach Cross-lingual Speech Retrieval Test Collection;http://hdl.handle.net/11234/1-1912;592 hours;manual annotations of selected topics and interviews' metadata;CC BY-NC-ND 4.0;Czech, English, French, German, Spanish;This corpus contains interviews with survivors of the Holocaust.#SEPThe corpus is available for download from LINDAT.;Download;http://hdl.handle.net/11234/1-1912;;;
IFA Spoken Language Corpus;http://hdl.handle.net/11372/LRT-734;50,000 words (41 minutes/speaker);Hand-segmented speech;CLARIN PUB;Dutch;The corpus is available for download from an informal webpage.;Download;http://hdl.handle.net/11372/LRT-734;;;
JASMIN Speech Corpus;http://hdl.handle.net/10032/tm-a2-j7;115 hours;PoS-tagged, lemmatised, phonetically transcribed;CLARIN RES;Dutch;The corpus contains recordings of human-machine interaction and read speech performed by children, non-native speakers and senior people.#SEPThe corpus is available download from the Dutch Language Institute.;Download;http://hdl.handle.net/10032/tm-a2-j7;;;
Air Traffic Control Communication;http://hdl.handle.net/11858/00-097C-0000-0001-CCA1-0;20 hours;speaker information;CC BY-NC-ND 3.0;English;This corpus contains recordings of communication between air traffic controllers and pilots#SEPThe corpus is available for download from LINDAT and through the concordancer KonText.;Concordancer#SEPDownload;https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=airtraffic_en_w#SEPhttp://hdl.handle.net/11858/00-097C-0000-0001-CCA1-0;;;
Boston University Radio Speech Corpus;https://catalog.ldc.upenn.edu/LDC96S36;7 hours;PoS-tagged, phonetic alignment, prosodic markers;CLARIN RES;English;This corpus contains recordings and texts from radio news.;Download;http://catalog.ldc.upenn.edu/LDC96S36;;;
Buckeye Corpus of Conversational Speech;http://hdl.handle.net/11041/sldr000776;;phonetic labels;CLARIN RES;English;This corpus contains an interview.#SEPThe corpus is available for download from ORTOLANG.;Download;http://hdl.handle.net/11041/sldr000776;Pitt et al. (2005);https://www.clarin.eu/resource-families/spoken-corpora#Pitt%20et%20al.%202005;
ELFA Corpus;http://urn.fi/urn:nbn:fi:lb-201403262;13 hours;;CLARIN RES, MS-C-No ReD-ND-FF;English;This corpus contains recorded lectures and seminars.#SEPThe corpus is available for download from FIN-CLARIN.;Download;http://urn.fi/urn:nbn:fi:lb-2014052721;;;
Corpus of Lecture Speech;http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00023L;41 hours;orthographically transcribed;CC-BY-SA;Estonian;This corpus contains recordings of academic lectures and oral conference presentations.#SEPThe corpus is available for download from a dedicated webpage.;Download;http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00023L;;;
Corpus of Radio Interviews;http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00022L;36 hours;speech annotation to orthographically transcribed;CC-BY;Estonian;This corpus contains telephone interviews from different radio programmes.#SEPThe corpus is available for download from META-SHARE (CELR distribution).;Download;http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00022L;;;
Corpus of Radio News;http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00021L;19 hours;speech annotation to orthographically transcribed;;Estonian;This corpus contains public broadcast news.#SEPThe corpus is available for download from META-SHARE (CELR distribution).;Download;http://hdl.handle.net/10.15155/9-00-0000-0000-0000-00021L;;;
Estonian Dialect Corpus;http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00076L;1.3 million words;phonetically transcribed, MSD-tagged, partly syntactically parsed;CLARIN ACA;Estonian;This corpus contains interviews.#SEPThe corpus is available for download from META-SHARE (CELR distribution).;Download;http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00076L;;;
Estonian Emotional Speech Corpus ;http://hdl.handle.net/10.15155/3-00-0000-0000-0000-0001AL;1234 sentences;;CC-BY;Estonian;This corpus contains read sentences that express anger, joy and sadness, or are neutral.#SEPTThe corpus is available for download from META-SHARE (CELR distribution).;Download;http://hdl.handle.net/10.15155/3-00-0000-0000-0000-0001AL;Altrov and Pajupuu (2012);https://www.clarin.eu/resource-families/spoken-corpora#Altrov%20and%20Pajupuu%202012;
Estonian North Wind and the Sun Corpus v.1.0.3;http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00129L;;words in standard orthography and phonemes in SAMPA;;Estonian;This corpus contains recordings of the tale “Põhjatuul ja päike” (North Wind and the Sun) read by the same speakers who participated in the Phonetic Corpus of Estonian Spontaneous Speech.#SEPThe corpus is available for download from META-SHARE (CELR distribution).;Download;http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00129L;;;
Phonetic Corpus of Estonian Spontaneous Speech v.1.0.4;http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00154L;635,000 words, 90 hours;orthographically and phonetically transcribed, syllables, prosodic feet, intonation phrases, changes in voice quality;CLARIN_RES;Estonian;This corpus contains spontaneous speech by speakers with different dialectological and social backgrounds.#SEPThe corpus is available for download from META-SHARE (CELR distribution).;Download;http://hdl.handle.net/10.15155/1-00-0000-0000-0000-00154L;;;
Faroese Danish Corpus Hamburg 0.2.dan (FADAC-0.2.dan Hamburg);http://hdl.handle.net/11022/0000-0000-A0D3-C;;<a href="https://exmaralda.org/en/2018/11/26/eadh-workshop-annotation-of-digital-oral-data-collections-in-the-humanities-and-social-sciences-3/">EXMARaLDA</a>;HZSK-RES (restricted, non-commercial only);Faroese, Danish;This corpus contains informal interviews.;;;;;
Aalto University DSP Course Conversation Corpus 2013-2016, Downloadable Version;http://urn.fi/urn:nbn:fi:lb-2017092133;5200 utterances;;CLARIN ACA;Finnish;This corpus contains spontaneous conversations.#SEPThe corpus is available for download from FIN-CLARIN.;Download;http://urn.fi/urn:nbn:fi:lb-201708251;;;
Finnish Broadcast Corpus;http://urn.fi/urn:nbn:fi:lb-201403265;18 hours;;CLARIN RES;Finnish;This corpus contains radio and TV broadcasts.#SEPThe corpus is available for download from FIN-CLARIN and for online querying through the LAT-platform.;Concordancer#SEPDownload;http://urn.fi/urn:nbn:fi:lb-1001100133#SEPhttp://urn.fi/urn:nbn:fi:lb-2016021201;;;
Follow-up Study of Dialects of Finnish;http://urn.fi/urn:nbn:fi:lb-2014073043;12,200 Hours;;CLARIN RES;Finnish;This corpus contains interviews.#SEPThis corpus is available for online querying through the LAT-platform.;LAT platform;http://urn.fi/urn:nbn:fi:lb-100110017700;;;
Route to A wing;http://urn.fi/urn:nbn:fi:lb-2014101401;218 tokens;PoS-tagged;CC-0;Finnish;This corpus contains spontaneous conversations.#SEPThis corpus is available for online querying through the concordancer Korp.;Concordancer;http://urn.fi/urn:nbn:fi:lb-2015050502;;;
Samples of Spoken Finnish;http://urn.fi/urn:nbn:fi:lb-201407141;;;CC-BY;Finnish;This corpus contains interviews.#SEPThis corpus is available for online querying through the LAT platform and through the concordancer Korp.;Concordancer#SEPLAT platform;http://urn.fi/urn:nbn:fi:lb-2015040101#SEPhttp://urn.fi/urn:nbn:fi:lb-1001100134;;;
The Finnish Dialect Syntax Archive;http://urn.fi/urn:nbn:fi:lb-2014052716;1.2 million words;MSD-tagged;CC-BY-NC-ND;Finnish;This corpus contains interviews.#SEPThe corpus is available for online querying through the LAT platform and through the concordancer Korp.;Concordancer#SEPLAT platform;http://urn.fi/urn:nbn:fi:lb-2014052715#SEPhttp://urn.fi/urn:nbn:fi:lb-1001100111532;;;
The Longitudinal Corpus of Finnish Spoken in Helsinki (1970s, 1990s and 2010s);http://urn.fi/urn:nbn:fi:lb-2014073041;210 hours;;restricted;Finnish;This corpus contains interviews.#SEPThe corpus is available for online querying through the LAT platform and through the concordancer Korp.;LAT platform;http://urn.fi/urn:nbn:fi:lb-100110016072;;;
The Corpus of Border Karelia;http://urn.fi/urn:nbn:fi:lb-2014073033;120 hours;;CC-BY;Finnish, Karelian;This corpus contains interviews.#SEPThe corpus is available for download from FIN-CLARIN.;Download;http://www.uef.fi/fi/finka/finka;;;
Plenary Sessions of the Parliament of Finland;http://urn.fi/urn:nbn:fi:lb-201407305;22.5 million words;;CC-BY-NC-ND;Finnish, Swedish;This corpus contains the proceedings of the Finnish Parliament.#SEPThe corpus is available through a dedicated webpage and through the concordancer Korp.;Concordancer#SEPDownload;http://urn.fi/urn:nbn:fi:lb-2017020201#SEPhttps://www.eduskunta.fi/FI/lakiensaataminen/taysistunnon_verkkolahetykset/tallenteet/Sivut/default.aspx;;;
CLAPI;http://hdl.handle.net/11403/CLAPI;;;CC BY-NC-SA 4.0 ;French;This is a collection containing around 40 corpora which contain social interactions in different contexts: professional, private, institutional, commercial, medical, and educational situations.#SEPMost of the corpora can be downloaded and queried through a dedicated concordancer.;Concordancer;http://clapi.icar.cnrs.fr/;;;
Corpus de Français Parlé Parisien des années 2000;http://hdl.handle.net/10670/1.g2c5ba;;;CC-BY;French;This corpus contains interviews.#SEPThe corpus is available for download from a dedicated webpage.;Download;https://hdl.handle.net/10670/1.g2c5ba;;;
Corpus for the Study of Contemporary French;https://hdl.handle.net/11403/cefc-orfeo/v1;10 million words, 350 hours;orthographically aligned, PoS-tagged;CC-BY 4.0;French;This corpus contains debates, classroom interactions, literary and scientific texts, regional and national press, etc.#SEP The corpus is available for through a dedicated concordancer.;Concordancer;https://repository.ortolang.fr/api/content/cefc-orfeo/4/documentation/site-orfeo/index.html;;;
Corpus of Orleans;http://purl.org/poi/crdo.vjf.cnrs.fr/cocoon-5569b8dc-b40f-3ccd-95d1-86d20a1a836c;;;CC BY-NC-SA 3.0;French;This corpus contains recordings of the everyday speech of Orléans residents between 1969 and 1974.#SEPThe corpus is available for download from the Huma-num repository.;Download;https://doi.org/10.34847/cocoon.5569b8dc-b40f-3ccd-95d1-86d20a1a836c;;;
Phonologie du Français Contemporain;http://cocoon.huma-num.fr/exist/crdo/ark:/87895/1.17-794340;;;;French;This corpus is available for download from a dedicated webpage.;Download;https://cocoon.huma-num.fr/exist/crdo/ark:/87895/1.17-794340;;;
Hamburg Modern Times Corpus;http://hdl.handle.net/11022/0000-0000-6973-9;3 hours;manual annotation of phonetic phenomena, accent/stress marking;HZSK-ACA (academic, non-commercial only);German;This corpus contains task-oriented communcation (e.g., a film retelling) in the context of studying adult L2 acquisition.;Download;https://hdl.handle.net/11022/0000-0000-6973-9;;;
Corpora of the Bavarian Archive for Speech Signals;http://hdl.handle.net/11022/1009-0000-0001-231F-6;47 corpora;various;CLARIN PUB/ACA/RES;German, English;This corpus collections contains a wide variety of spoken discourse, such as elicited speech tasks, spontaneous conversations in different settings (e.g., in a taxi, over the telephone), involving a variety of different speakers (e.g., from adolescents to adults, as well as speakers that are hard of hearing).#SEPThe corpora are available for download from the BAS CLARIN B Centre. ;Download;http://hdl.handle.net/11022/1009-0000-0001-231F-6;;;
GeWiss;https://gewiss.uni-leipzig.de/index.php?id=home&L=1;1.4 million tokens;;;German (L2 and L1), English, Polish, Italian (L1);This corpus contains transcripts and audio recordings of spoken  academic discourse, primarily talks including discussions and oral exams.;Concordancer;https://gewiss.uni-leipzig.de/index.php?id=full_texts&L=1;Fandrych et al. (2014);https://gewiss.uni-leipzig.de/fileadmin/documents/Fandrych%20et%20al.%20%282014%29%20Inhalt.pdf;
Australiendeutsch;http://hdl.handle.net/10932/00-0332-BCF9-BE93-5F01-E;330,000 words, 65 hours;PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German;This corpus contains interviews in German extraterritorial varieties.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-BCF9-BE93-5F01-E#SEPhttp://hdl.handle.net/10932/00-0332-BCF9-BE93-5F01-E;;;
Belgische TV-Debatten;http://hdl.handle.net/10932/00-03FA-9CB0-5E33-8E01-8;10 hours;;CLARIN RES;German;This corpus contains broadcast TV debates#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-03FA-9CB0-5E33-8E01-8#SEPhttp://hdl.handle.net/10932/00-0332-BCF9-BE93-5F01-E;;;
Berliner Wendekorpus;http://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4;260,000 words, 28 hours;literal and PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German;This corpus contains narrative interviews on German reunification.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4#SEPhttp://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4;;;
Biographische und Reiseerzählungen;http://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4;50,000 words, 6 hours;orthographically transcribed;CLARIN RES;German;This corpus contains narrative and biographic interviews.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4#SEPhttp://hdl.handle.net/10932/00-0332-BD7C-3EF5-0B01-4;;;
Deutsche Hochlautung;http://hdl.handle.net/10932/00-0332-C35C-4849-7B01-7;10,000 words, 2 hours;PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German;This corpus contains broadcasts in standard German.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C35C-4849-7B01-7#SEPhttp://hdl.handle.net/10932/00-0332-C35C-4849-7B01-7;;;
Deutsche Mundarten: ehemalige deutsche Ostgebiete;http://hdl.handle.net/10932/00-0332-C68C-5D03-EB01-7;838,000 words, 461 hours;PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German;This corpus contains interviews and elicited speech in German dialects.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C68C-5D03-EB01-7#SEPhttp://hdl.handle.net/10932/00-0332-C68C-5D03-EB01-7;;;
Deutsche Standardsprache: König-Korpus;http://hdl.handle.net/10932/00-0332-C489-C64D-6D01-9;50,000 words, 6 hours;PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German;This corpus contains interviews and elicited speech in standard German#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C489-C64D-6D01-9#SEPhttp://hdl.handle.net/10932/00-0332-C489-C64D-6D01-9;;;Excerpt - complete corpus (around 120 hours) currently in the process of curation
Deutsche Umgangssprachen: Pfeffer-Korpus;http://hdl.handle.net/10932/00-0332-C9D0-78FE-3C01-2;646,000 words, 80 hours;PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German;This corpus contains interviews in regional varieties of German.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C9D0-78FE-3C01-2#SEPhttp://hdl.handle.net/10932/00-0332-C9D0-78FE-3C01-2;;;
Dialogstrukturen;http://hdl.handle.net/10932/00-0332-C0BE-562F-C101-E;140,000 words, 15 hours;orthographically transcribed, intonation, lemmatised, PoS-tagged, time alignment;CLARIN RES;German;This corpus contains authentic interaction from various domains.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C0BE-562F-C101-E#SEPhttp://hdl.handle.net/10932/00-0332-C0BE-562F-C101-E;;;
Elizitierte Konfliktgespräche;http://hdl.handle.net/10932/00-0332-C11A-46E1-0001-A;160,000 words, 12 hours;orthographically transcribed;CLARIN RES;German;This corpus contains elicited conflict interaction.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C11A-46E1-0001-A#SEPhttp://hdl.handle.net/10932/00-0332-C11A-46E1-0001-A;;;
Emigrantendeutsch in Israel;http://hdl.handle.net/10932/00-0332-C3A7-393A-8A01-3;232,000 words, 285 hours;orthographically transcribed, lemma, PoS-tagged, time alignment;CLARIN RES;German;This corpus contains interviews in German extraterritorial varieties.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C3A7-393A-8A01-3#SEPhttp://hdl.handle.net/10932/00-0332-C3A7-393A-8A01-3;;;
Emigrantendeutsch in Israel: Wiener in Jerusalem;http://hdl.handle.net/10932/00-0332-C42A-423C-2401-D;225,000 words, 51 hours;PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German;This corpus contains interviews in German extraterritorial varieties.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C42A-423C-2401-D#SEPhttp://hdl.handle.net/10932/00-0332-C42A-423C-2401-D;;;
Forschungs- und Lehrkorpus gesprochenes Deutsch;http://hdl.handle.net/10932/00-0332-C1B2-A5E3-2A01-D;2.3 million words, 230 hours;literal and PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German;This corpus contains authentic interactions from various domains.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C1B2-A5E3-2A01-D#SEPhttp://hdl.handle.net/10932/00-0332-C1B2-A5E3-2A01-D;;;
