Corpus;Corpus_URL;Size;Annotation;Licence;Language;Description;Buttons;Buttons_URL;Publication;Publication_URL;Note
Topics of library and information science;http://hdl.grnet.gr/11500/IONION-0000-0000-25BD-2;732 words;;CC-BY-NC;English, Greek;This is a word list of terms from the domain of library and information science. The resource is available for download from clarin:el.;Download;http://hdl.grnet.gr/11500/IONION-0000-0000-25BD-2;;;
Vocabulaire d'archéologie;https://hdl.handle.net/11403/vocabulaire-darcheologie/v1;4,431 entries;preferred form, synonym shape;CC-BY 4.0;French, English;This is a controlled vocabulary of expressions from the domain of archaeology available for download from ORTOLANG.;Download;http://hdl.handle.net/11403/vocabulaire-darcheologie/v1;;;
Vocabulaire d'art et archéologie;https://hdl.handle.net/11403/art-et-archeologie/v1.1;1,960 entries;preferred forms, synonym shape;CC-BY 4.0;French, English;This is a controlled vocabulary of expressions from fine arts and archaeology available for download from ORTOLANG.;Download;http://hdl.handle.net/11403/art-et-archeologie/v1.1;;;
Vocabulaire de géographie de l'Amérique du Nord;https://hdl.handle.net/11403/vocabulaire-de-geographie-de-lamerique-du-nord/v1;4,232 entries;hierarchical relationship, preferred form, synonym shape;CC-BY 4.0;French, English;This is a thesaurus of terms from the geography of North America available for download from ORTOLANG.;Download;http://hdl.handle.net/11403/vocabulaire-de-geographie-de-lamerique-du-nord/v1;;;
Vocabulaire de Nutrition artificielle;https://hdl.handle.net/11403/vocabulaire-de-nutrition-artificielle/v1;2,500 entries;associative relationship, hierarchical relationship, preferred form, synonym shape;CC-BY 4.0;French, English;This is a controlled vocabulary of expressions from the domain of nutrition available for download from ORTOLANG.;Download;http://hdl.handle.net/11403/vocabulaire-de-nutrition-artificielle/v1;;;
Vocabulaire de Pathologies humaines;https://hdl.handle.net/11403/vocabulaire-de-pathologies-humaines/v1;;hierarchical relationship, preferred form, synonym shape;CC-BY 4.0;French, English;This is a controlled vocabulary of expressions from the domain of medicine (pathological diseases) available for download from ORTOLANG.;Download;http://hdl.handle.net/11403/vocabulaire-de-pathologies-humaines/v1;;;
Vocabulaire de philosophie;https://hdl.handle.net/11403/philosophie/v1.1;4,435 entries;preferred form, synonym shape;CC-BY 4.0;French, English;This is a controlled vocabulary of expressions of philosophical terms available for download from ORTOLANG.;Download;http://hdl.handle.net/11403/philosophie/v1.1;;;
Vocabulaire de préhistoire et protohistoire;https://hdl.handle.net/11403/prehistoire-protohistoire/v1.1;3,093 entries;hierarchical relationship, preferred forms, synonym shape;CC-BY 4.0;French, English;This is a controlled vocabulary of expressions historical terms available for download from ORTOLANG.;Download;http://hdl.handle.net/11403/prehistoire-protohistoire/v1.1;;;
Vocabulaire de Psychopathologie;https://hdl.handle.net/11403/vocabulaire-de-psychopathologie/v1;575 terms;associative relationship, hierarchical relationship, preferred form, synonym shape;CC-BY 4.0;French, English;This is a controlled vocabulary of expressions from the domain of psychopathology available for download from ORTOLANG.;Download;http://hdl.handle.net/11403/vocabulaire-de-psychopathologie/v1;;;
Vocabulaire de Sciences de l'éducation;https://hdl.handle.net/11403/vocabulaire-de-sciences-de-leducation/v1;2,681 entries;preferred form, synonym shape;CC-BY 4.0;French, English;This is a controlled vocabulary of expressions from the domain of education available for download from ORTOLANG.;Download;http://hdl.handle.net/11403/vocabulaire-de-sciences-de-leducation/v1;;;
