"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"OPUS corpus";"http://opus.lingfil.uu.se/";"A great many subcorpora";"sentence-aligned";"CC-BY";;"Approx. 100 languages";"This corpus contains various subcorpora that compile texts from a great number of domains, such as literary texts, political documents, subtitles, UN documents, and the debates of the European Parliament.#SEPThe corpus is available for download from a dedicated webpage and through a dedicated concordancer.";"Parallel corpora";"Concordancer#SEPDownload";"http://opus.lingfil.uu.se/bin/opuscqp.pl#SEPhttp://opus.lingfil.uu.se/";"Tiedemann (2009)";"https://www.clarin.eu/resource-families/parallel-corpora#Tiedemann%202009";
"Bulgarian-X language Parallel Corpus2";"http://metashare.elda.org/repository/browse/bulgarian-x-language-parallel-corpus/b8ecf7fe66cd11e281b65cf3fcb88b70394683c3b32549349cf039716e61a92b/";"1.2 billion tokens";"tokenised ";"CC-BY";;"50 languages";"This corpus is a part of the Bulgarian National Corpus.#SEPThe corpus is available through a dedicated concordancer.";"Parallel corpora";"Concordancer";"http://search.dcl.bas.bg/";;;
"EUbookshop";"http://opus.lingfil.uu.se/EUbookshop.php";"3.5 billion tokens";"tokenised, sentence-aligned";;;"48 languages";"This corpus contains texts from EU law books and related publications.#SEPThe corpus is available for download from the OPUS webpage.";"Parallel corpora";"Download";"http://opus.lingfil.uu.se/EUbookshop.php";"Skadiņš et al. (2014)";"https://www.clarin.eu/resource-families/parallel-corpora#Skadi%C5%86%C5%A1%20et%20al.%202014";
"PELCRA multilingual parallel corpora";"http://metashare.ilsp.gr:8080/repository/browse/pelcra-mutlilingual-parallel-corpora-cc-by/f05f0f1c63f111e2bff4525400d76147f9863da9a70143bebd894e55197705a1/";"143 million tokens";"tokenised, sentence-aligned";"CC-BY";;"25 languages";"This corpus contains texts from the CORDIC and RAPID websites, and the press releases of the European Parliament and the European Southern Observatory.#SEPThe corpus is available for download from META-SHARE.";"Parallel corpora";"Download";"http://metashare.ilsp.gr:8080/repository/browse/pelcra-mutlilingual-parallel-corpora-cc-by/f05f0f1c63f111e2bff4525400d76147f9863da9a70143bebd894e55197705a1/";;;
"TED-Parallel-Corpus";"https://github.com/ajinkyakulkarni14/TED-Multilingual-Parallel-Corpus";"300,000 sentences";;;;"11 languages";"This corpus contains TED talks in English and translations into the following languages: Arabic, Simplified Chinese, Traditional Chinese, Dutch, French, German, Hebrew, Italian, Japanese, Korean, and Russian.#SEPThe corpus is available for download from GIT-HUB.";"Parallel corpora";"Download";"http://github.com/ajinkyakulkarni14/TED-Multilingual-Parallel-Corpus";;;
"SETimes";"http://metashare.ilsp.gr:8080/repository/browse/south-east-european-parallel-corpus/d200935e67cc11e28a985ef2e4e6c59ef6e70e681f7745a191deeb0b0537e60a/";"43 million tokens";"partially sentence aligned";"CC-BY";;"10 languages";"This corpus contains texts from the setimes.com website.#SEPThe corpus is available for download from a dedicated webpage.";"Parallel corpora";"Download";"http://nlp.ffzg.hr/resources/corpora/setimes/";"Tyers and Alperen (2010).";"https://www.clarin.eu/resource-families/parallel-corpora#Tyers%20and%20Alperen%202010";
"The United Nations Parallel Corpus";"https://conferences.unite.un.org/uncorpus";"335 million tokens";"tokenised";;;"6 languages";"This corpus contains the official records and other parliamentary documents of the United Nations that are in the public domain in the following languages: English, Russian, Spanish, French, Chinese, and Arabic.#SEPThe corpus is available for download from a dedicated webpage.";"Parallel corpora";"Download";"http://conferences.unite.un.org/uncorpus#statistics";"Ziemski et al. (2016).";"https://www.clarin.eu/resource-families/parallel-corpora#Ziemski%20et%20al.%202016";
"μtopia";"http://www.cs.cmu.edu/~lingwang/microtopia/#overview";"1.5 million tokens";"tokenised";;;"6 languages";"This corpus contains tweets and blogposts in the following language pairs: English-Mandarin, English-Arabic, English-Russian, English-Korean, and English-Japanese.#SEPThe corpus is available for download from a dedicated webpage.";"Parallel corpora";"Download";"http://www.cs.cmu.edu/~lingwang/microtopia/#weibo";;;
"QTLeap Corpus V1.2";"http://metashare.ilsp.gr:8080/repository/browse/qtleap-corpus-v12/0176c39ae9cd11e4a2aa782bcb074135ba7d767f645a48dca1d50ee3c9504253/";"140,000 tokens";"sentence-aligned";"CC-BY";;"5 languages";"This corpus contains texts related to computer and IT troubleshooting for the following language pairs: Bulgarian-English, Czech-English, Portuguese-English, Spanish-English, and Basque-English#SEPThe corpus available for download from META-SHARE under the CC-BY license.";"Parallel corpora";"Download";"http://metashare.ilsp.gr:8080/repository/browse/qtleap-corpus-v12/0176c39ae9cd11e4a2aa782bcb074135ba7d767f645a48dca1d50ee3c9504253/";;;
"Parallel Wiki";"http://metashare.ilsp.gr:8080/repository/browse/parallel-wiki-english-german/424504fadc7411e5aa0b00237df3e358380903df1e5642df8582c0a852c36359/";;;"CC-BY";;"4 languages";"This corpus contains Wikipedia texts in the following language pairs: English-German, English-Romanian, and English-Spanish.";"Parallel corpora";;;;;"For access, contact the resource managers."
"QTLeap News Corpus";"http://metashare.ilsp.gr:8080/repository/browse/qtleap-news-corpus/834dfa6ca12a11e6a2aa782bcb074135a731473a10da4b04b0523d389854400d/";"1,104 sentences";"sentence-aligned";"CC-BY";;"4 languages";"This corpus contains news articles in the following language pairs: English-Czech, English-German and English-Spanish.";"Parallel corpora";;;;;"For access, contact the resource managers."
"Scielo corpus";"http://www.statmt.org/wmt16/biomedical-translation-task.html";;;;;"4 languages";"This corpus contains scientific articles from the Scielo database in the following language pairs: English-French, English-Spanish, and English-Portuguese.";"Parallel corpora";;;;;"For access, contact the resource managers."
"MultiUN: Multilingual UN Parallel Text 2000—2009";"http://www.euromatrixplus.net/multi-un/";"1 billion tokens";"tokenised, sentence-aligned";;;"3 languages";"This corpus contains texts from the United Nations website from 2000 to 2009 in the following language pairs: Spanish-Chinese, Chinese-Spanish, French-Chinese, and Chinese-French.#SEPThe corpus is available for download from a dedicated webpage.";"Parallel corpora";"Download";"http://www.euromatrixplus.net/multi-un/";"Eisele and Chen (2010).";"https://www.clarin.eu/resource-families/parallel-corpora#Eisele%20and%20Chen%202010";
"REVEAL-THIS Corpus";"http://metashare.ilsp.gr:8080/repository/browse/reveal-this-corpus/3d1c4f0e614a11e289f6842b2b6a04d7c69218b49aab4ab78249dd27add9d4a3/";"325,000 words";;"under negotiation";;"3 languages";"This is a multilingual corpus of English, French and Greek.";"Parallel corpora";;;;;"For access, contact the resource managers."
