"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"A digital dictionary of Damascus Arabic";"http://hdl.handle.net/11022/0000-0007-C093-9";"4,218 entries";"basic morphological information, usage examples";"CC-BY-NC-SA 3.0";"https://creativecommons.org/licenses/by-nc-sa/3.0/";"Arabic (Damascus)";"This small-sized dictionary of Spoken Damascus Arabic has mainly been compiled for comparative and didactic purposes, and comprises all words in Prochazka's 2-volume textbook Lehrbuch des Syrisch-Arabischen. The resource is available for download from ARCHE.";"Dictionaries";"Download";"http://hdl.handle.net/11022/0000-0007-C093-9";;;
"A digital dictionary of Modern Standard Arabic";"http://hdl.handle.net/11022/0000-0007-C265-C";"2,418 entries";"basic morphological information, a few usage examples";"CC-BY-NC-SA 3.0";"https://creativecommons.org/licenses/by-nc-sa/3.0/";"Arabic (Modern Standard)";"This small-sized dictionary of Modern Standard Arabic has mainly been compiled for comparative and didactic purposes. The resource is available for download from ARCHE.";"Dictionaries";"Download";"http://hdl.handle.net/11022/0000-0007-C265-C";;;
"A Digital Dictionary of Tunis Arabic";"https://id.acdh.oeaw.ac.at/uuid/175b8cdf-5d04-f4d3-a778-67910aa8fd37";"7,543 entries ";;"CC-BY-NC-SA 3.0";"https://creativecommons.org/licenses/by-nc-sa/3.0";"Arabic (Tunis)";"This dictionary includes entries from the TuniCo corpus and is additionally based on data elicited from complementary interviews with young Tunisians and lexical material taken from published historical sources dating back to the middle of the 20th century. The resource is available for download from ARCHE.";"Dictionaries";"Download";"http://id.acdh.oeaw.ac.at/uuid/175b8cdf-5d04-f4d3-a778-67910aa8fd37";;;
"A digital dictionary of Dagaare";"http://hdl.handle.net/11022/0000-0007-C267-A";"1252 entries";"PoS-tags, nominal and verbal valency";"CC-BY-NC-SA 3.0";"https://creativecommons.org/licenses/by-nc-sa/3.0/";"Dagaare";"This dictionary, which illustrates salient aspects of the Dagaare lexico-grammatical system, is available for download from ARCHE.";"Dictionaries";"Download";"http://hdl.handle.net/11022/0000-0007-C267-A";;;
"Jysk Ordbog (a-h), 17. April, 2011, xml-edition";"http://hdl.handle.net/20.500.12115/27";"16,000 entries";;"CC BY-SA 4.0";"https://creativecommons.org/licenses/by-sa/4.0/";"Danish";"This is a dictionary of Danish dialects spoken in Jutland between 1700 and 1920. The resource is available for download from CLARIN-DK.";"Dictionaries";"Download";"http://hdl.handle.net/20.500.12115/27";;;
"Dictionary of Contemporary Dutch (ANW)";"http://hdl.handle.net/10032/3aa9c824f9e17c284b2f683f7f22cdef";"255,239 words";;;;"Dutch";"This dictionary describes Dutch vocabulary from 1970 onwards. The resource is available for online browsing through a platform provided by the Dutch Language Institute (INT).#SEPFor a list of related publications, see the following <a href=""http://anw.inl.nl/publicaties"">webpage</a>.";"Dictionaries";"Browse";"http://hdl.handle.net/10032/3aa9c824f9e17c284b2f683f7f22cdef";;;
"Dictionary of Middle Dutch (MNW)";"http://hdl.handle.net/10032/9e0745558fa2cd9fd111b9995eb88615";"60,000 lemmas";;;;"Dutch";"This is a historical dictionary of Medieval Dutch vocabulary from the period between 1250 and 1550. The resource is available for online browsing through the Dutch Language Institute (INT).";"Dictionaries";"Browse";"http://hdl.handle.net/10032/9e0745558fa2cd9fd111b9995eb88615";;;
"Dictionary of Old Dutch (ONW)";"http://hdl.handle.net/10032/7abb1eb00a7915589e462e8e94ed19b";;;"other";;"Dutch";"This is a historical dictionary of Old Dutch vocabulary from the period from the period between 500 and 1200. The resource is available for online browsing through the Dutch Language Institute (INT).";"Dictionaries";"Browse";"http://hdl.handle.net/10032/7abb1eb00a7915589e462e8e94ed19b";;;
"Early Middle Dutch Dictionary (VMNW)";"http://hdl.handle.net/10032/acf1047f579abaf7a2de3664a73c2e35";"25,000 lemmas";;"other";;"Dutch";"This is a historical dictionary of Early Medieval Dutch vocabulary from the period between 1200 and 1300. The resource is available for online browsing through the Dutch Language Institute (INT).";"Dictionaries";"Browse";"https://hdl.handle.net/10032/acf1047f579abaf7a2de3664a73c2e35";;;
"iWNT";"http://hdl.handle.net/10032/b5f9c25b380977251c9c2687786d6930";"95,000 lemmas";;"other";;"Dutch";"The dictionary describes the meaning and history of hundred thousands of words in written Dutch, from the period 1500-1976. The resource is available for online browsing through the Dutch Language Institute (INT).";"Dictionaries";"Browse";"http://hdl.handle.net/10032/b5f9c25b380977251c9c2687786d6930";;;
"English Hask Collocation Database";"http://pelcra.pl/hask_en/";"150,045 entries containing 2,875,407 word combinations";;"CC-BY-NC";"https://creativecommons.org/licenses/by-nc/4.0";"English";"HASK collocation dictionaries are phraseological databases used by linguists, language teachers, lexicographers, language materials developers, translators and other language professionals and casual dictionary users. The resource is available for online browsing through the PELCRA environment.";"Dictionaries";"Browse";"http://pelcra.pl/hask_en/browser";;;
"First Estonian Slang Dictionary";"http://www.doi.org/10.15155/3-00-0000-0000-0000-05AEFL";"7,500 keywords";;"proprietary";;"Estonian";"This is a dictionary of Estonian slang that is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://portaal.eki.ee/dict/slang#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05AEFL";;;
"Low-German Loanwords in the Estonian Language";"http://www.doi.org/10.15155/3-00-0000-0000-0000-05AF1L";"1,150 keywords";;"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This is a dictionary of Low-German loanwords. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/asl/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05AF1L";;;
"Online Dictionary of Standard Estonian ÕS 2018";"http://www.doi.org/10.15155/3-00-0000-0000-0000-079CEL";"59,275 keyword";"standardised orthography, phonology, MSD-tags";"CC-BY";"https://creativecommons.org/licenses/by/4.0";"Estonian";"This is a normative dictionary of modern standard Estonian. The resource is available for download from META-SHARE (CELR distribution) and online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/qs2018/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-079CEL";;;
"The Advisory Dictionary of Document Language";"https://www.doi.org/10.15155/3-00-0000-0000-0000-05AF5L";"1,200 keywords";;"CLARIN ACA";"http://urn.fi/urn:nbn:fi:lb-201802222";"Estonian";"This is a dictionary for simple, plain and precise expression in official communication. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated website.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/ametnik/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05AF5L";;;
"The Basic Estonian Dictionary";"http://www.doi.org/10.15155/3-00-0000-0000-0000-05925L";"50,000 keywords";;"CC-BY";"https://creativecommons.org/licenses/by/4.0";"Estonian";"This is a monolingual dictionary that includes important Estonian words explained in simple language. The resource is available for download from META-SHARE (CELR distribution) and for online browsing through a dedicated webpage.";"Dictionaries";"Browse#SEPDownload";"http://www.eki.ee/dict/psv/#SEPhttp://www.doi.org/10.15155/3-00-0000-0000-0000-05925L";;;
