Corpus;Corpus_URL;Size;Annotation;Licence;Licence_URL;Language;Description;Family;Buttons;Buttons_URL;Publication;Publication_URL;Note
The CLASSLA-Stanza model for morphosyntactic annotation of standard Bulgarian 2.1;http://hdl.handle.net/11356/1849;;morphosyntax;CC BY-SA 4.0;;Bulgarian;"The model for morphosyntactic annotation of standard Bulgarian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""https://clarino.uib.no/korpuskel/corpora"">BulTreeBank training corpus</a> and using the <a href=""http://hdl.handle.net/11356/1796"">CLARIN.SI-embed.bg word embeddings</a>. The model produces simultaneously UPOS, FEATS and XPOS (MULTEXT-East) labels. The estimated F1 of the XPOS annotations is ~96.83.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1849;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
The CLASSLA-Stanza model for morphosyntactic annotation of standard Croatian 2.1;http://hdl.handle.net/11356/1832;;morphosyntax;CC BY-SA 4.0;;Croatian;"The model for morphosyntactic annotation of standard Croatian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""http://hdl.handle.net/11356/1792"">hr500k training corpus</a> and using the <a href=""http://hdl.handle.net/11356/1790"">CLARIN.SI-embed.hr word embeddings</a>. The model produces simultaneously UPOS, FEATS and XPOS (MULTEXT-East) labels. The estimated F1 of the XPOS annotations is ~94.87.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1832;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
The CLASSLA-Stanza model for morphosyntactic annotation of non-standard Croatian 2.1;http://hdl.handle.net/11356/1826;;morphosyntax;CC BY-SA 4.0;;Croatian;"The model for morphosyntactic annotation of non-standard Croatian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""http://hdl.handle.net/11356/1792"">hr500k training corpus</a> and the <a href=""http://hdl.handle.net/11356/1793"">ReLDI-NormTagNER-hr corpus</a>, using the <a href=""http://hdl.handle.net/11356/1790"">CLARIN.SI-embed.hr word embeddings</a>. These corpora were additionally augmented for handling missing diacritics by repeating parts of the corpora with diacritics removed. The model produces simultaneously UPOS, FEATS and XPOS (MULTEXT-East) labels. The estimated F1 of the XPOS annotations is ~92.49.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1826;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
Czech Models (MorfFlex CZ 161115 + PDT 3.0) for MorphoDiTa 161115;http://hdl.handle.net/11234/1-1836;;morphosyntax;CC BY-NC-SA 4.0;;Czech;"These models were developed for <a href=""http://hdl.handle.net/11858/00-097C-0000-0023-43CD-0"">MorphoDiTa</a>, which performs morphological analysis, morphological generation and part-of-speech tagging (see also the <a href=""https://www.clarin.eu/resource-families/tools-part-speech-tagging-and-lemmatisation"">PoS-taggers and lemmatizers Resource Family</a>). The morphological dictionary is created from the <a href=""http://hdl.handle.net/11234/1-1834"">161115 version of the MorfFlex CZ lexicon</a> and the <a href=""http://hdl.handle.net/11234/1-1807"">1.2 version of the DeriNet lexical network</a>. The PoS tagger is trained on <a href=""http://hdl.handle.net/11858/00-097C-0000-0023-1AAF-3"">Prague Dependency Treebank 3.0</a>.#SEPThe models are available for download from the LINDAT repository.";Language models;Download;http://hdl.handle.net/11234/1-1836;;;
POS Tagging and Lemmatization (Czech model);http://hdl.handle.net/11234/1-4613;;morphosyntax and lemmatisation;CC BY-NC-SA 4.0;;Czech;"This model is trained using <a href=""https://arxiv.org/abs/2105.11314"">RobeCzech</a>, which is the Czech version of BERT. The model is trained on the <a href=""http://hdl.handle.net/11234/1-2621"">Prague Dependency Treebank 3.5</a>.#SEPThe model is available for download from the LINDAT repository.";Language models;Download;http://hdl.handle.net/11234/1-4613;Vysušilová (2021);http://hdl.handle.net/20.500.11956/147648;
English Models (Morphium + WSJ) for MorphoDiTa;http://hdl.handle.net/11858/00-097C-0000-0023-68D9-0;;morphosyntax;CC BY-NC-SA 3.0;;English;"These models are for <a href=""http://hdl.handle.net/11858/00-097C-0000-0023-43CD-0"">MorphoDiTa</a>, which performs morphological analysis, morphological generation and part-of-speech tagging (see also the <a href=""https://www.clarin.eu/resource-families/tools-part-speech-tagging-and-lemmatisation"">PoS-taggers and lemmatizers Resource Family</a>).#SEPThe morphological dictionary is created from Morphium and <a href=""http://wordlist.aspell.net/"">SCOWL</a> (Spell Checker Oriented Word Lists), the PoS tagger is trained on the Wall Street Journal.";Language models;Download;http://hdl.handle.net/11858/00-097C-0000-0023-68D9-0;;;
FinBERT;http://urn.fi/urn:nbn:fi:lb-202004212;;morphosyntax;CC BY 4.0;;Finnish;"This <a href=""https://github.com/google-research/bert"">BERT</a> model can be fine-tuned to achieve state-of-the-art results for various Finnish natural language processing tasks.#SEPThe model is available for download from the Language Bank of Finland.";Language models;Download;http://urn.fi/urn:nbn:fi:lb-202004212;;;
The CLASSLA-Stanza model for morphosyntactic annotation of standard Macedonian 2.1;http://hdl.handle.net/11356/1847;;morphosyntax;CC BY-SA 4.0;;Macedonian;"The model for morphosyntactic annotation of standard Macedonian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the 1984 training corpus expanded with the Macedonian SETimes corpus (to be published) and using the <a href=""http://hdl.handle.net/11356/1788"">Macedonian CLARIN.SI word embeddings</a>. The model produces simultaneously UPOS, FEATS and XPOS (MULTEXT-East) labels. The estimated F1 of the XPOS annotations is ~97.14.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1847;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
Liner2.5 model Minos;http://hdl.handle.net/11321/292;;morphosyntax;CC BY-SA 4.0;;Polish;"This is a model for the <a href=""https://github.com/CLARIN-PL/Liner2"">Liner2.5</a> tool for the recognition of verbs without explicit subjects.#SEPThe model is available for download from the CLARIN-PL repository.";Language models;Download;http://hdl.handle.net/11321/292;;;
The CLASSLA-Stanza model for morphosyntactic annotation of standard Serbian 2.1;http://hdl.handle.net/11356/1831;;morphosyntax;CC BY-SA 4.0;;Serbian;"The model for morphosyntactic annotation of standard Serbian was built with the <a href=""https://github.com/clarinsi/classla"">CLASSLA-Stanza tool</a> by training on the <a href=""http://hdl.handle.net/11356/1200"">SETimes.SR training corpus</a> combined with the <a href=""http://hdl.handle.net/11356/1792"">Croatian hr500k training dataset</a> to ensure sufficient representation of certain labels, and using the <a href=""http://hdl.handle.net/11356/1789"">CLARIN.SI-embed.sr word embeddings</a>. The model produces simultaneously UPOS, FEATS and XPOS (MULTEXT-East) labels. The estimated F1 of the XPOS annotations is ~96.19.#SEPThe model is available for download from the CLARIN.SI repository.";Language models;Download;http://hdl.handle.net/11356/1831;Ljubešić and Dobrovoljc (2019);http://dx.doi.org/10.18653/v1/W19-3704;
