"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"CERED baseline models";"http://hdl.handle.net/11234/1-3266";;"Baseline";"CC BY-NC-SA 4.0";;"Czech";"These models are trained on <a href=""http://hdl.handle.net/11234/1-3265"">CERED</a>, a dataset created by distant supervision on Czech Wikipedia and Wikidata, and recognize a subset of Wikidata relations.#SEPThe model is available for download from the LINDAT repository.";"Language models";"Download";"http://hdl.handle.net/11234/1-3266";;;
"LVBERT - Latvian BERT";"http://hdl.handle.net/20.500.12574/43";;"Baseline";"GNU GPL3";;"Latvian";"This model is trained on the original implementation of <a href=""https://github.com/google-research/bert"">BERT</a> on the <a href=""https://www.tensorflow.org/"">TensorFlow</a> machine-learning platform with the whole-word masking and the next sentence prediction objectives. This uses the BERT configuration with 12 layers, 768 hidden units, 12 heads, 128 sequence length, 128 mini-batch size and a 32,000 token vocabulary.#SEPTHe model is available for download from the CLARIN-LV repository.";"Language models";"Download";"http://hdl.handle.net/20.500.12574/43";"Znotinš and Barzdinš (2020)";"https://doi.org/10.3233/FAIA200610";
"LitLat BERT";"http://hdl.handle.net/20.500.11821/42";;"Baseline";"PUB CLARIN-LT";;"Lithuanian, Latvian, English";"This <a href=""https://github.com/google-research/bert"">BERT</a>-like model represents tokens as contextually dependent word embeddings, used for various NLP classification tasks by fine-tuning the model end-to-end. The corpora used for training the model have 4.07 billion tokens in total, of which 2.32 billion are English, 1.21 billion are Lithuanian and 0.53 billion are Latvian.#SEPThe model is available for download from the CLARIN-LT repository.
";"Language models";"Download";"http://hdl.handle.net/20.500.11821/42";;;
"Albertina PT-BR";"https://hdl.handle.net/21.11129/0000-000F-FF43-7 ";;"Baseline";"MIT";;"Portuguese";"This model is an encoder of the BERT family and is based on the neural architecture Transformer and developed over the <a href=""https://huggingface.co/docs/transformers/model_doc/deberta"">DeBERTa</a> model. This model is for American Portuguese spoken in Brazil, is trained on the <a href=""https://huggingface.co/datasets/brwac"">brWaC</a> dataset, and is a larger version of the <a href=""https://hdl.handle.net/21.11129/0000-000F-FF45-5 "">Albertina PT-BR</a> base model.#SEPThis model is available for download through Hugging Face.";"Language models";"Download";"https://huggingface.co/PORTULAN/albertina-ptbr";;;
"Albertina PT-BR base";"https://hdl.handle.net/21.11129/0000-000F-FF45-5";;"Baseline";"MIT";;"Portuguese";"This model is for Portuguese spoken in Brazil. It is based on the Transformer neural architecture and is developed over the <a href=""https://huggingface.co/docs/transformers/model_doc/deberta"">DeBERTa model</a>. ";"Language models";"Download";"https://huggingface.co/PORTULAN/albertina-ptbr-base";;;
"Albertina PT-BR No-brWaC";"https://hdl.handle.net/21.11129/0000-000F-FF46-4 ";;"Baseline";"MIT";;"Portuguese";"This is a model for Portuguese spoken in Brazil trained on adta sets othan than brWaC. It is I developed over the <a href=""https://huggingface.co/docs/transformers/model_doc/deberta"">DeBERTa model</a>.  #SEPThe model is available for download from Hugging Face.";"Language models";"Download";"https://huggingface.co/PORTULAN/albertina-ptbr-nobrwac";;;
"Albertina PT-PT";"https://hdl.handle.net/21.11129/0000-000F-FF42-8";;"Baseline";"MIT";;"Portuguese";"This model is an encoder of the BERT family and is based on the neural architecture Transformer and developed over the <a href=""https://huggingface.co/docs/transformers/model_doc/deberta"">DeBERTa</a> model. This model is for European Portuguese and is trained on the <a href=""https://huggingface.co/datasets/brwac"">brWaC</a> dataset, and is a larger version of the <a href=""https://hdl.handle.net/21.11129/0000-000F-FF45-6"">Albertina PT-PT</a> base model.#SEPThis model is available for download through Hugging Face.";"Language models";"Download";"https://huggingface.co/PORTULAN/albertina-ptpt";;;
"Albertina PT-PT base";"https://hdl.handle.net/21.11129/0000-000F-FF44-6";;"Baseline";"MIT";;"Portuguese";"This model is for European. It is based on the Transformer neural architecture and is developed over the <a href=""https://huggingface.co/docs/transformers/model_doc/deberta"">DeBERTa model</a>.#SEPThis model is available for download through Hugging Face.";"Language models";"Download";"https://huggingface.co/PORTULAN/albertina-ptpt-base";;;
"Gervásio PT-BR base";"https://hdl.handle.net/21.11129/0000-000F-FF48-2 ";;"Baseline";"MIT";;"Portuguese";"This model, which is for Portuguese spoken in Brazil, is a decoder of the GPT family that is based on the neural architecture Transformer and developed over the <a href=""https://www.eleuther.ai/papers-blog/pythia-a-suite-for-analyzing-large-language-modelsacross-training-and-scaling"">Pythia model</a>.#SEPThe model is available for download from Hugging Face.";"Language models";"Download";"https://hdl.handle.net/21.11129/0000-000F-FF48-2 ";;;
"Gervásio PT-PT base";"https://hdl.handle.net/21.11129/0000-000F-FF47-3";;"Baseline";"MIT";;"Portuguese";"This model, which is for European Portuguese, is a decoder of the GPT family that is based on the neural architecture Transformer and developed over the <a href=""https://www.eleuther.ai/papers-blog/pythia-a-suite-for-analyzing-large-language-modelsacross-training-and-scaling"">Pythia model</a>.#SEPThe model is available for download from Hugging Face.";"Language models";"Download";"https://huggingface.co/PORTULAN/gervasio-ptpt-base";;;
